Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,02/11/2012 11:10:55,02/11/2012 13:55:07,11.000
Conductivity,02/11/2012 11:11:16,02/11/2012 13:55:44,104.000
WQ_NIT_NIT,02/11/2012 11:10:49,02/11/2012 13:56:20,11.000
WQ_PHS_FRP,02/11/2012 11:10:20,02/11/2012 13:56:25,11.000
WQ_GEO_K,02/11/2012 11:10:12,02/11/2012 13:56:16,11.000
WQ_DIAG_TOT_TURBIDITY,02/11/2012 11:10:08,02/11/2012 13:56:23,208.000
WQ_CAR_DIC,02/11/2012 11:11:09,02/11/2012 13:56:02,11.000
WQ_GEO_AL,02/11/2012 11:10:41,02/11/2012 13:55:18,11.000
WQ_DIAG_TOT_TAL,02/11/2012 11:10:57,02/11/2012 13:55:50,11.000
WQ_NIT_AMM,02/11/2012 11:10:56,02/11/2012 13:55:53,11.000
WQ_GEO_CL,02/11/2012 11:10:42,02/11/2012 13:55:21,11.000
WQ_GEO_FEII,02/11/2012 11:10:23,02/11/2012 13:55:41,11.000
WQ_DIAG_TOT_TFE,02/11/2012 11:10:54,02/11/2012 13:55:02,11.000
WQ_GEO_MN,02/11/2012 11:10:18,02/11/2012 13:56:11,11.000
WQ_OGM_DOC,02/11/2012 11:11:16,02/11/2012 13:56:12,11.000
WQ_CAR_PH,02/11/2012 11:10:55,02/11/2012 13:55:59,104.000
WQ_SIL_RSI,02/11/2012 11:11:25,02/11/2012 13:56:03,11.000
WQ_GEO_NA,02/11/2012 11:10:46,02/11/2012 13:55:29,11.000
WQ_GEO_SO4,02/11/2012 11:10:51,02/11/2012 13:55:18,11.000
TEMP,02/11/2012 11:22:08,02/11/2012 13:51:29,93.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,02/11/2012 11:10:08,02/11/2012 13:56:23,208.000
WQ_TRC_SS1,02/11/2012 11:10:08,02/11/2012 13:56:23,208.000
SAL,02/11/2012 11:11:16,02/11/2012 13:55:44,104.000
