Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,03/03/2010 09:16:00,12/11/2010 10:10:15,14.000
WQ_OXY_OXY,20/02/2008 15:31:00,19/11/2010 10:01:15,19.000
Conductivity,20/02/2008 15:31:23,19/11/2010 10:00:23,34.000
WQ_NIT_NIT,03/03/2010 09:15:43,12/11/2010 10:10:36,14.000
WQ_PHS_FRP,03/03/2010 09:15:31,12/11/2010 10:10:53,14.000
WQ_GEO_K,03/03/2010 09:15:15,12/11/2010 10:10:14,14.000
WQ_DIAG_TOT_TKN,03/03/2010 09:16:18,12/11/2010 10:10:53,14.000
WQ_CAR_DIC,20/02/2008 15:31:03,19/11/2010 10:01:21,34.000
WQ_GEO_AL,03/03/2010 09:16:20,12/11/2010 10:10:42,13.000
WQ_DIAG_TOT_TAL,03/03/2010 09:15:30,12/11/2010 10:11:16,14.000
WQ_NIT_AMM,12/05/2010 09:20:22,12/11/2010 10:10:49,7.000
WQ_GEO_CL,03/03/2010 09:15:40,12/11/2010 10:10:57,14.000
WQ_GEO_FEII,17/09/2010 10:16:12,12/11/2010 10:10:33,5.000
WQ_DIAG_TOT_TFE,03/03/2010 09:15:15,12/11/2010 10:10:06,14.000
WQ_GEO_MN,17/09/2010 10:15:52,12/11/2010 10:10:12,5.000
WQ_DIAG_TOT_TN,03/03/2010 09:15:34,12/11/2010 10:11:18,14.000
WQ_CAR_PH,20/02/2008 15:30:52,19/11/2010 10:00:20,34.000
WQ_DIAG_TOT_TP,03/03/2010 09:15:31,12/11/2010 10:10:35,14.000
WQ_SIL_RSI,03/03/2010 09:15:11,12/11/2010 10:11:06,14.000
WQ_GEO_NA,03/03/2010 09:15:34,12/11/2010 10:11:23,14.000
WQ_GEO_SO4,03/03/2010 09:15:09,12/11/2010 10:10:03,14.000
TEMP,18/02/2010 10:55:31,19/11/2010 10:01:08,19.000
WQ_DIAG_TOT_TURBIDITY,03/03/2010 09:15:25,12/11/2010 10:11:08,14.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,03/03/2010 09:15:25,12/11/2010 10:11:08,14.000
WQ_TRC_SS1,03/03/2010 09:15:25,12/11/2010 10:11:08,14.000
ON,03/03/2010 09:16:18,12/11/2010 09:16:18,14.000
OP,03/03/2010 00:00:00,12/11/2010 00:00:00,14.000
SAL,20/02/2008 15:31:23,19/11/2010 10:00:23,34.000
