Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,16/03/2011 13:00:21,30/06/2011 11:10:39,2.000
WQ_OXY_OXY,16/03/2011 13:00:28,14/03/2013 10:01:01,4.000
Conductivity,16/03/2011 13:00:33,14/03/2013 10:01:16,7.000
WQ_GEO_K,16/03/2011 13:00:50,30/06/2011 11:10:44,2.000
WQ_CAR_DIC,16/03/2011 13:00:04,14/03/2013 10:00:54,7.000
WQ_GEO_AL,16/03/2011 13:01:06,14/03/2013 10:00:17,3.000
WQ_DIAG_TOT_TAL,16/03/2011 13:01:21,14/03/2013 10:00:29,3.000
WQ_GEO_CL,16/03/2011 13:00:43,14/03/2013 10:00:21,3.000
WQ_GEO_FEII,16/03/2011 13:01:04,14/03/2013 10:01:21,3.000
WQ_DIAG_TOT_TFE,16/03/2011 13:00:17,14/03/2013 10:00:16,3.000
WQ_GEO_MN,16/03/2011 13:00:46,14/03/2013 10:00:59,3.000
WQ_CAR_PH,16/03/2011 13:01:15,14/03/2013 10:01:19,7.000
WQ_SIL_RSI,16/03/2011 13:01:21,30/06/2011 11:10:49,2.000
WQ_GEO_NA,16/03/2011 13:00:45,30/06/2011 11:11:19,2.000
WQ_GEO_SO4,16/03/2011 13:01:09,14/03/2013 10:01:14,3.000
TEMP,16/03/2011 13:01:10,14/03/2013 10:00:44,4.000
WQ_DIAG_TOT_TURBIDITY,16/03/2011 13:01:00,30/06/2011 11:10:07,2.000
WQ_DIAG_TOT_TSS,16/03/2011 13:01:00,30/06/2011 11:10:07,2.000
WQ_TRC_SS1,16/03/2011 13:01:00,30/06/2011 11:10:07,2.000
SAL,16/03/2011 13:00:33,14/03/2013 10:01:16,7.000
