Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,03/06/2010 13:38:36,03/06/2010 13:38:36,1.000
WQ_OXY_OXY,03/06/2010 13:39:25,03/06/2010 13:39:25,1.000
Conductivity,03/06/2010 13:39:11,03/06/2010 13:39:15,2.000
WQ_GEO_K,03/06/2010 13:38:29,03/06/2010 13:38:29,1.000
WQ_CAR_DIC,03/06/2010 13:38:51,03/06/2010 13:39:10,2.000
WQ_GEO_AL,03/06/2010 13:38:29,03/06/2010 13:38:29,1.000
WQ_DIAG_TOT_TAL,03/06/2010 13:38:15,03/06/2010 13:38:15,1.000
WQ_GEO_CL,03/06/2010 13:38:11,03/06/2010 13:38:11,1.000
WQ_GEO_FEII,03/06/2010 13:39:24,03/06/2010 13:39:24,1.000
WQ_DIAG_TOT_TFE,03/06/2010 13:39:18,03/06/2010 13:39:18,1.000
WQ_GEO_MN,03/06/2010 13:39:21,03/06/2010 13:39:21,1.000
WQ_CAR_PH,03/06/2010 13:38:40,03/06/2010 13:39:04,2.000
WQ_SIL_RSI,03/06/2010 13:39:12,03/06/2010 13:39:12,1.000
WQ_GEO_NA,03/06/2010 13:39:00,03/06/2010 13:39:00,1.000
WQ_GEO_SO4,03/06/2010 13:38:45,03/06/2010 13:38:45,1.000
TEMP,03/06/2010 13:38:15,03/06/2010 13:38:15,1.000
WQ_DIAG_TOT_TURBIDITY,03/06/2010 13:38:43,03/06/2010 13:38:43,1.000
WQ_DIAG_TOT_TSS,03/06/2010 13:38:43,03/06/2010 13:38:43,1.000
WQ_TRC_SS1,03/06/2010 13:38:43,03/06/2010 13:38:43,1.000
SAL,03/06/2010 13:39:11,03/06/2010 13:39:15,2.000
