Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,03/03/2010 11:21:14,12/11/2010 12:30:59,14.000
WQ_OXY_OXY,03/03/2010 11:20:49,09/12/2014 12:40:18,55.000
Conductivity,03/03/2010 11:20:14,09/12/2014 12:40:25,72.000
WQ_NIT_NIT,03/03/2010 11:20:55,22/11/2013 12:10:49,18.000
WQ_PHS_FRP,03/03/2010 11:20:04,22/11/2013 12:11:25,18.000
WQ_GEO_K,03/03/2010 11:20:02,12/11/2010 12:31:12,14.000
WQ_DIAG_TOT_TKN,03/03/2010 11:20:09,22/11/2013 12:10:55,18.000
WQ_DIAG_TOT_TURBIDITY,03/03/2010 11:20:21,09/12/2014 12:41:14,56.000
WQ_CAR_DIC,03/03/2010 11:21:07,09/12/2014 12:40:06,53.000
WQ_GEO_AL,03/03/2010 11:21:11,12/11/2010 12:30:19,14.000
WQ_DIAG_TOT_TAL,03/03/2010 11:21:05,12/11/2010 12:30:13,14.000
WQ_NIT_AMM,15/05/2010 16:30:27,22/11/2013 12:11:18,11.000
WQ_GEO_CL,03/03/2010 11:21:16,12/11/2010 12:30:33,14.000
WQ_GEO_FEII,17/09/2010 12:11:10,12/11/2010 12:31:06,5.000
WQ_DIAG_TOT_TFE,03/03/2010 11:21:17,12/11/2010 12:30:35,14.000
WQ_GEO_MN,17/09/2010 12:11:58,12/11/2010 12:31:05,5.000
WQ_DIAG_TOT_TN,03/03/2010 11:21:18,12/11/2010 12:30:29,14.000
WQ_CAR_PH,03/03/2010 11:20:13,09/12/2014 12:41:13,72.000
WQ_DIAG_TOT_TP,03/03/2010 11:20:47,22/11/2013 12:11:16,18.000
WQ_SIL_RSI,03/03/2010 11:20:57,22/11/2013 12:10:35,18.000
WQ_GEO_NA,03/03/2010 11:20:04,12/11/2010 12:30:41,14.000
WQ_GEO_SO4,03/03/2010 11:20:52,12/11/2010 12:31:16,14.000
TEMP,03/03/2010 11:20:37,09/12/2014 12:40:09,58.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,03/03/2010 11:20:21,09/12/2014 12:41:14,56.000
WQ_TRC_SS1,03/03/2010 11:20:21,09/12/2014 12:41:14,56.000
ON,03/03/2010 11:20:09,22/11/2013 11:20:09,18.000
OP,03/03/2010 00:00:00,22/11/2013 00:00:00,18.000
SAL,03/03/2010 11:20:14,09/12/2014 12:40:25,72.000
