Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,29/04/2008 08:00:36,16/04/2014 00:00:41,147.000
WQ_OXY_OXY,20/02/2008 12:00:40,09/12/2014 11:20:00,131.000
Conductivity,20/02/2008 12:01:12,09/12/2014 11:20:29,267.000
WQ_NIT_NIT,04/01/2010 17:45:51,09/02/2016 12:00:46,114.000
WQ_PHS_FRP,04/01/2010 17:46:26,09/02/2016 12:01:09,114.000
WQ_GEO_K,29/04/2008 08:00:26,16/04/2014 00:00:17,147.000
WQ_DIAG_TOT_TKN,29/04/2008 08:01:23,09/02/2016 12:01:25,171.000
WQ_DIAG_TOT_TOC,06/08/2008 09:40:11,26/07/2011 13:38:09,11.000
WQ_DIAG_TOT_TURBIDITY,29/04/2008 08:00:20,09/02/2016 12:00:17,429.000
WQ_CAR_DIC,20/02/2008 12:00:14,09/12/2014 11:20:42,233.000
WQ_GEO_AL,29/04/2008 08:00:14,16/04/2014 00:00:26,115.000
WQ_DIAG_TOT_TAL,29/04/2008 08:01:20,16/10/2014 00:01:15,149.000
WQ_NIT_AMM,06/08/2008 09:40:38,09/02/2016 12:01:09,118.000
WQ_GEO_CL,29/04/2008 08:01:16,16/10/2014 00:00:41,150.000
WQ_PHY_GRN,06/08/2008 09:41:05,09/02/2016 12:01:10,34.000
WQ_GEO_FEII,06/08/2008 09:40:00,12/11/2010 10:30:50,22.000
WQ_DIAG_TOT_TFE,29/04/2008 08:00:06,16/10/2014 00:00:38,150.000
WQ_GEO_MG,29/04/2008 08:00:39,09/12/2009 08:11:18,57.000
WQ_GEO_MN,06/08/2008 09:40:18,12/11/2010 10:30:18,21.000
WQ_DIAG_TOT_TN,29/04/2008 08:00:38,12/06/2013 12:06:03,134.000
WQ_OGM_DOC,06/08/2008 09:40:47,09/02/2016 12:01:21,77.000
WQ_CAR_PH,20/02/2008 12:01:10,09/12/2014 11:20:12,276.000
WQ_DIAG_TOT_TP,29/04/2008 08:00:29,09/02/2016 12:00:59,171.000
SAL,20/02/2008 12:01:12,09/12/2014 11:20:29,267.000
WQ_SIL_RSI,29/04/2008 08:00:52,09/02/2016 12:01:16,156.000
WQ_GEO_NA,29/04/2008 08:00:05,16/04/2014 00:00:01,147.000
WQ_GEO_SO4,29/04/2008 08:00:39,16/04/2014 00:01:20,148.000
WQ_DIAG_TOT_TSS,06/08/2008 09:41:12,16/04/2013 11:06:24,27.000
TEMP,20/02/2008 12:00:48,09/12/2014 11:21:13,132.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_PHY_TCHLA,06/08/2008 09:41:05,09/02/2016 12:01:10,34.000
WQ_TRC_SS1,29/04/2008 08:00:20,09/02/2016 12:00:17,429.000
ON,29/04/2008 08:01:23,09/02/2016 08:01:23,171.000
OP,29/04/2008 00:00:00,09/02/2016 00:00:00,171.000
