Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,21/06/2010 10:20:40,21/06/2010 10:20:40,1.000
WQ_OXY_OXY,15/04/2010 10:03:40,06/02/2013 12:00:20,12.000
Conductivity,15/04/2010 10:04:05,06/02/2013 12:00:20,13.000
WQ_NIT_NIT,28/03/2012 00:01:22,28/03/2012 00:01:22,1.000
WQ_GEO_K,21/06/2010 10:20:36,21/06/2010 10:20:36,1.000
WQ_DIAG_TOT_TKN,28/03/2012 00:00:10,28/03/2012 00:00:10,1.000
WQ_CAR_DIC,15/04/2010 10:03:55,06/02/2013 12:01:21,12.000
WQ_GEO_AL,21/06/2010 10:20:04,21/06/2010 10:20:04,1.000
WQ_DIAG_TOT_TAL,21/06/2010 10:21:17,21/06/2010 10:21:17,1.000
WQ_GEO_CL,21/06/2010 10:21:07,21/06/2010 10:21:07,1.000
WQ_GEO_FEII,21/06/2010 10:20:07,21/06/2010 10:20:07,1.000
WQ_DIAG_TOT_TFE,21/06/2010 10:21:20,21/06/2010 10:21:20,1.000
WQ_GEO_MN,21/06/2010 10:20:23,21/06/2010 10:20:23,1.000
WQ_CAR_PH,15/04/2010 10:03:41,06/02/2013 12:00:39,13.000
WQ_SIL_RSI,21/06/2010 10:20:32,21/06/2010 10:20:32,1.000
WQ_GEO_NA,21/06/2010 10:20:24,21/06/2010 10:20:24,1.000
WQ_GEO_SO4,21/06/2010 10:20:46,21/06/2010 10:20:46,1.000
TEMP,15/04/2010 10:03:59,06/02/2013 12:00:33,12.000
WQ_DIAG_TOT_TURBIDITY,21/06/2010 10:20:04,21/06/2010 10:20:04,1.000
WQ_DIAG_TOT_TSS,21/06/2010 10:20:04,21/06/2010 10:20:04,1.000
WQ_TRC_SS1,21/06/2010 10:20:04,21/06/2010 10:20:04,1.000
SAL,15/04/2010 10:04:05,06/02/2013 12:00:20,13.000
