Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,12/05/2010 11:07:26,13/10/2011 13:00:42,5.000
Conductivity,12/05/2010 11:08:02,13/10/2011 13:01:14,6.000
WQ_CAR_DIC,21/06/2010 10:30:09,13/10/2011 13:01:01,4.000
WQ_GEO_AL,12/05/2010 11:07:46,12/05/2010 11:07:46,1.000
WQ_DIAG_TOT_TAL,12/05/2010 11:07:56,12/05/2010 11:07:56,1.000
WQ_GEO_CL,12/05/2010 11:07:25,12/05/2010 11:07:25,1.000
WQ_GEO_FEII,12/05/2010 11:07:53,12/05/2010 11:07:53,1.000
WQ_DIAG_TOT_TFE,12/05/2010 11:08:24,12/05/2010 11:08:24,1.000
WQ_CAR_PH,12/05/2010 11:07:09,13/10/2011 13:00:04,6.000
WQ_GEO_SO4,12/05/2010 11:07:20,12/05/2010 11:07:20,1.000
TEMP,12/05/2010 11:07:15,13/10/2011 13:00:21,5.000
SAL,12/05/2010 11:08:02,13/10/2011 13:01:14,6.000
