Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,12/05/2010 11:30:01,12/05/2010 11:30:01,1.000
Conductivity,12/05/2010 11:29:33,12/05/2010 11:29:55,2.000
WQ_CAR_DIC,12/05/2010 11:29:01,12/05/2010 11:30:05,2.000
WQ_GEO_AL,12/05/2010 11:29:44,12/05/2010 11:29:44,1.000
WQ_DIAG_TOT_TAL,12/05/2010 11:29:53,12/05/2010 11:29:53,1.000
WQ_GEO_CL,12/05/2010 11:29:03,12/05/2010 11:29:03,1.000
WQ_GEO_FEII,12/05/2010 11:30:13,12/05/2010 11:30:13,1.000
WQ_DIAG_TOT_TFE,12/05/2010 11:30:22,12/05/2010 11:30:22,1.000
WQ_CAR_PH,12/05/2010 11:29:30,12/05/2010 11:30:09,2.000
WQ_GEO_SO4,12/05/2010 11:29:40,12/05/2010 11:29:40,1.000
TEMP,12/05/2010 11:29:24,12/05/2010 11:29:24,1.000
SAL,12/05/2010 11:29:33,12/05/2010 11:29:55,2.000
