Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,03/06/2010 15:00:11,28/07/2010 13:52:12,2.000
WQ_OXY_OXY,03/06/2010 15:00:39,30/08/2010 15:10:46,3.000
Conductivity,03/06/2010 15:00:28,30/08/2010 15:10:00,5.000
WQ_GEO_K,03/06/2010 15:00:18,28/07/2010 13:52:33,2.000
WQ_CAR_DIC,03/06/2010 15:01:10,30/08/2010 15:10:31,4.000
WQ_GEO_AL,03/06/2010 15:00:35,28/07/2010 13:52:18,2.000
WQ_DIAG_TOT_TAL,03/06/2010 15:00:49,28/07/2010 13:52:51,2.000
WQ_GEO_CL,03/06/2010 15:00:16,28/07/2010 13:53:14,2.000
WQ_GEO_FEII,03/06/2010 15:00:37,28/07/2010 13:52:52,2.000
WQ_DIAG_TOT_TFE,03/06/2010 15:01:01,28/07/2010 13:53:02,2.000
WQ_GEO_MN,03/06/2010 15:00:31,28/07/2010 13:52:48,2.000
WQ_CAR_PH,03/06/2010 15:00:17,30/08/2010 15:10:27,5.000
WQ_SIL_RSI,03/06/2010 15:00:21,28/07/2010 13:53:08,2.000
WQ_GEO_NA,03/06/2010 15:00:45,28/07/2010 13:52:01,2.000
WQ_GEO_SO4,03/06/2010 15:00:36,28/07/2010 13:52:29,2.000
TEMP,03/06/2010 15:00:21,30/08/2010 15:11:06,3.000
WQ_DIAG_TOT_TURBIDITY,03/06/2010 15:01:03,28/07/2010 13:52:54,2.000
WQ_DIAG_TOT_TSS,03/06/2010 15:01:03,28/07/2010 13:52:54,2.000
WQ_TRC_SS1,03/06/2010 15:01:03,28/07/2010 13:52:54,2.000
SAL,03/06/2010 15:00:28,30/08/2010 15:10:00,5.000
