Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,30/08/2010 15:45:54,30/08/2010 15:45:54,1.000
WQ_OXY_OXY,30/08/2010 15:46:20,07/09/2010 15:30:19,2.000
Conductivity,30/08/2010 15:45:18,07/09/2010 15:30:51,3.000
WQ_GEO_K,30/08/2010 15:45:33,30/08/2010 15:45:33,1.000
WQ_CAR_DIC,07/09/2010 15:30:41,07/09/2010 15:30:41,1.000
WQ_GEO_AL,30/08/2010 15:46:01,30/08/2010 15:46:01,1.000
WQ_DIAG_TOT_TAL,30/08/2010 15:46:21,30/08/2010 15:46:21,1.000
WQ_GEO_CL,30/08/2010 15:46:08,30/08/2010 15:46:08,1.000
WQ_GEO_FEII,30/08/2010 15:46:15,30/08/2010 15:46:15,1.000
WQ_DIAG_TOT_TFE,30/08/2010 15:46:12,30/08/2010 15:46:12,1.000
WQ_GEO_MN,30/08/2010 15:45:01,30/08/2010 15:45:01,1.000
WQ_CAR_PH,30/08/2010 15:46:13,07/09/2010 15:31:01,3.000
WQ_SIL_RSI,30/08/2010 15:45:02,30/08/2010 15:45:02,1.000
WQ_GEO_NA,30/08/2010 15:45:05,30/08/2010 15:45:05,1.000
WQ_GEO_SO4,30/08/2010 15:45:11,30/08/2010 15:45:11,1.000
TEMP,30/08/2010 15:46:14,07/09/2010 15:30:47,2.000
WQ_DIAG_TOT_TURBIDITY,30/08/2010 15:45:27,30/08/2010 15:45:27,1.000
WQ_DIAG_TOT_TSS,30/08/2010 15:45:27,30/08/2010 15:45:27,1.000
WQ_TRC_SS1,30/08/2010 15:45:27,30/08/2010 15:45:27,1.000
SAL,30/08/2010 15:45:18,07/09/2010 15:30:51,3.000
