Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,06/08/2008 10:53:45,23/06/2011 10:01:00,83.000
WQ_OXY_OXY,20/02/2008 14:01:12,23/06/2011 10:00:09,96.000
Conductivity,20/02/2008 14:00:21,23/06/2011 10:01:15,170.000
WQ_NIT_NIT,04/01/2010 16:15:16,23/06/2011 10:00:16,36.000
WQ_PHS_FRP,04/01/2010 16:15:01,23/06/2011 10:00:49,36.000
WQ_GEO_K,06/08/2008 10:53:09,23/06/2011 10:00:49,83.000
WQ_DIAG_TOT_TKN,06/08/2008 10:53:05,23/06/2011 10:00:23,83.000
WQ_DIAG_TOT_TOC,06/08/2008 10:53:52,23/06/2011 10:00:58,13.000
WQ_DIAG_TOT_TURBIDITY,06/08/2008 10:53:27,23/06/2011 10:01:23,254.000
WQ_CAR_DIC,20/02/2008 14:01:13,23/06/2011 10:00:25,137.000
WQ_GEO_AL,06/08/2008 10:54:12,23/06/2010 09:50:01,58.000
WQ_DIAG_TOT_TAL,06/08/2008 10:54:21,23/06/2011 10:00:12,80.000
WQ_NIT_AMM,06/08/2008 10:53:19,23/06/2011 10:00:15,47.000
WQ_GEO_CALCITE,27/10/2009 07:36:01,27/10/2009 07:36:01,1.000
WQ_GEO_CL,06/08/2008 10:53:10,23/06/2011 10:00:43,83.000
WQ_PHY_GRN,06/08/2008 10:54:01,27/10/2009 07:36:12,16.000
WQ_GEO_FEII,06/08/2008 10:54:17,19/12/2009 07:46:21,20.000
WQ_DIAG_TOT_TFE,06/08/2008 10:54:22,23/06/2011 10:00:47,83.000
WQ_GEO_MG,06/08/2008 10:53:30,19/12/2009 07:45:07,47.000
WQ_GEO_MN,06/08/2008 10:53:52,19/12/2009 07:45:32,20.000
WQ_DIAG_TOT_TN,06/08/2008 10:54:04,23/06/2011 10:00:28,82.000
WQ_OGM_DOC,06/08/2008 10:53:03,23/06/2011 10:00:37,22.000
WQ_CAR_PH,20/02/2008 14:00:15,23/06/2011 10:00:53,174.000
WQ_DIAG_TOT_TP,06/08/2008 10:53:44,23/06/2011 10:00:42,83.000
WQ_SIL_RSI,18/08/2008 09:31:22,23/06/2011 10:00:04,63.000
WQ_GEO_NA,06/08/2008 10:54:21,23/06/2011 10:00:19,83.000
WQ_GEO_SO4,06/08/2008 10:53:32,23/06/2011 10:01:10,83.000
WQ_DIAG_TOT_TSS,06/08/2008 10:54:04,19/12/2009 07:45:03,19.000
TEMP,20/02/2008 14:00:05,23/06/2011 10:00:23,102.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_PHY_TCHLA,06/08/2008 10:54:01,27/10/2009 07:36:12,16.000
WQ_TRC_SS1,06/08/2008 10:53:27,23/06/2011 10:01:23,254.000
ON,06/08/2008 10:53:05,08/06/2011 10:53:05,82.000
OP,06/08/2008 00:00:00,23/06/2011 00:00:00,83.000
SAL,20/02/2008 14:00:21,23/06/2011 10:01:15,170.000
