Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,29/04/2008 08:35:56,24/10/2013 12:11:14,125.000
WQ_OXY_OXY,29/04/2008 08:35:31,16/10/2014 13:55:36,142.000
Conductivity,29/04/2008 08:36:05,16/10/2014 13:55:49,259.000
WQ_NIT_NIT,04/01/2010 18:45:18,24/10/2013 12:10:35,64.000
WQ_PHS_FRP,04/01/2010 18:45:52,24/10/2013 12:11:09,64.000
WQ_GEO_K,29/04/2008 08:35:33,24/10/2013 12:10:26,125.000
WQ_DIAG_TOT_TKN,29/04/2008 08:36:01,24/10/2013 12:10:10,126.000
WQ_DIAG_TOT_TOC,06/08/2008 10:13:10,23/06/2011 12:37:21,13.000
WQ_DIAG_TOT_TURBIDITY,29/04/2008 08:35:53,16/10/2014 13:56:03,418.000
WQ_CAR_DIC,29/04/2008 08:35:26,16/10/2014 13:56:06,212.000
WQ_GEO_AL,29/04/2008 08:35:16,24/10/2013 12:10:35,91.000
WQ_DIAG_TOT_TAL,29/04/2008 08:36:20,24/10/2013 12:10:45,125.000
WQ_NIT_AMM,06/08/2008 10:12:31,24/10/2013 12:11:04,75.000
WQ_GEO_CALCITE,27/10/2009 08:20:20,27/10/2009 08:20:20,1.000
WQ_GEO_CL,29/04/2008 08:35:07,24/10/2013 12:11:11,127.000
WQ_PHY_GRN,06/08/2008 10:12:15,27/10/2009 08:21:08,15.000
WQ_GEO_FEII,06/08/2008 10:13:06,19/12/2009 13:40:33,20.000
WQ_DIAG_TOT_TFE,29/04/2008 08:35:47,24/10/2013 12:10:57,126.000
WQ_GEO_MG,29/04/2008 08:35:25,19/12/2009 13:41:23,61.000
WQ_GEO_MN,06/08/2008 10:12:39,19/12/2009 13:40:38,20.000
WQ_DIAG_TOT_TN,29/04/2008 08:35:00,12/06/2013 12:33:20,119.000
WQ_OGM_DOC,06/08/2008 10:13:14,24/10/2013 12:10:25,46.000
WQ_CAR_PH,29/04/2008 08:36:01,16/10/2014 13:56:16,264.000
WQ_DIAG_TOT_TP,29/04/2008 08:35:10,24/10/2013 12:11:02,126.000
SAL,29/04/2008 08:36:05,16/10/2014 13:55:49,259.000
WQ_SIL_RSI,29/04/2008 08:35:59,24/10/2013 12:10:21,106.000
WQ_GEO_NA,29/04/2008 08:35:02,24/10/2013 12:10:24,125.000
WQ_GEO_SO4,29/04/2008 08:36:25,24/10/2013 12:10:56,126.000
WQ_DIAG_TOT_TSS,06/08/2008 10:12:10,16/04/2013 11:29:17,23.000
TEMP,29/04/2008 08:35:00,16/10/2014 13:55:01,148.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_PHY_TCHLA,06/08/2008 10:12:15,27/10/2009 08:21:08,15.000
WQ_TRC_SS1,29/04/2008 08:35:53,16/10/2014 13:56:03,418.000
ON,29/04/2008 08:36:01,24/10/2013 08:36:01,126.000
OP,29/04/2008 00:00:00,24/10/2013 00:00:00,126.000
