Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,27/05/2010 10:35:21,28/06/2010 10:55:30,4.000
WQ_OXY_OXY,21/04/2010 13:31:06,31/05/2011 11:08:11,19.000
Conductivity,21/04/2010 13:31:01,31/05/2011 11:07:18,24.000
WQ_GEO_K,27/05/2010 10:35:54,28/06/2010 10:55:45,4.000
WQ_CAR_DIC,21/04/2010 13:30:34,31/05/2011 11:07:41,18.000
WQ_GEO_AL,18/05/2010 11:01:20,28/06/2010 10:55:39,5.000
WQ_DIAG_TOT_TAL,18/05/2010 11:01:22,28/06/2010 10:55:55,5.000
WQ_GEO_CL,27/05/2010 10:35:35,28/06/2010 10:56:06,4.000
WQ_GEO_FEII,18/05/2010 11:00:16,28/06/2010 10:55:28,5.000
WQ_DIAG_TOT_TFE,18/05/2010 11:00:06,28/06/2010 10:55:16,5.000
WQ_GEO_MN,27/05/2010 10:36:06,28/06/2010 10:55:47,4.000
WQ_CAR_PH,21/04/2010 13:30:22,31/05/2011 11:07:31,24.000
WQ_SIL_RSI,27/05/2010 10:35:56,28/06/2010 10:55:01,4.000
WQ_GEO_NA,27/05/2010 10:35:22,28/06/2010 10:55:25,4.000
WQ_GEO_SO4,18/05/2010 11:00:23,28/06/2010 10:56:08,5.000
TEMP,21/04/2010 13:30:50,31/05/2011 11:07:40,20.000
WQ_DIAG_TOT_TURBIDITY,27/05/2010 10:35:51,28/06/2010 10:55:55,4.000
WQ_DIAG_TOT_TSS,27/05/2010 10:35:51,28/06/2010 10:55:55,4.000
WQ_TRC_SS1,27/05/2010 10:35:51,28/06/2010 10:55:55,4.000
SAL,21/04/2010 13:31:01,31/05/2011 11:07:18,24.000
