Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,04/08/2008 14:10:15,21/06/2011 13:50:19,76.000
WQ_OXY_OXY,04/08/2008 14:09:34,15/11/2011 11:30:05,226.000
Conductivity,04/08/2008 14:09:28,15/11/2011 11:30:25,296.000
WQ_NIT_NIT,06/01/2010 11:31:10,21/06/2011 13:50:30,51.000
WQ_PHS_FRP,28/01/2010 11:00:40,21/06/2011 13:50:45,46.000
WQ_GEO_K,04/08/2008 14:10:15,21/06/2011 13:50:21,76.000
WQ_DIAG_TOT_TKN,04/08/2008 14:10:17,21/06/2011 13:51:06,69.000
WQ_DIAG_TOT_TOC,04/08/2008 14:09:18,21/06/2011 13:50:57,39.000
WQ_DIAG_TOT_TURBIDITY,04/08/2008 14:09:13,21/06/2011 13:50:48,474.000
WQ_CAR_DIC,04/08/2008 14:09:48,15/11/2011 11:30:54,166.000
WQ_GEO_AL,04/08/2008 14:09:22,19/11/2010 00:00:15,50.000
WQ_DIAG_TOT_TAL,04/08/2008 14:09:27,21/06/2011 13:50:22,76.000
WQ_NIT_AMM,04/08/2008 14:09:24,21/06/2011 13:51:26,70.000
WQ_GEO_CL,04/08/2008 14:09:45,21/06/2011 13:50:43,76.000
WQ_PHY_GRN,04/08/2008 14:09:57,28/10/2009 12:36:07,16.000
WQ_GEO_FEII,04/08/2008 14:09:01,19/11/2010 00:00:47,50.000
WQ_DIAG_TOT_TFE,04/08/2008 14:10:13,21/06/2011 13:51:24,76.000
WQ_GEO_MG,04/08/2008 14:09:40,19/12/2009 12:10:00,19.000
WQ_GEO_MN,04/08/2008 14:10:20,05/11/2010 00:00:41,36.000
WQ_DIAG_TOT_TN,04/08/2008 14:09:00,21/06/2011 13:50:36,69.000
WQ_OGM_DOC,04/08/2008 14:09:21,21/06/2011 13:51:24,39.000
WQ_CAR_PH,04/08/2008 14:09:27,15/11/2011 11:30:49,246.000
WQ_DIAG_TOT_TP,04/08/2008 14:09:44,21/06/2011 13:51:00,69.000
WQ_SIL_RSI,05/07/2010 11:16:18,21/06/2011 13:51:19,33.000
WQ_GEO_NA,04/08/2008 14:09:25,21/06/2011 13:50:36,76.000
WQ_GEO_SO4,04/08/2008 14:10:16,21/06/2011 13:50:33,76.000
WQ_DIAG_TOT_TSS,04/08/2008 14:10:01,28/10/2009 12:35:27,17.000
TEMP,04/08/2008 14:10:01,15/11/2011 11:31:03,237.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_PHY_TCHLA,04/08/2008 14:09:57,28/10/2009 12:36:07,16.000
WQ_TRC_SS1,04/08/2008 14:09:13,21/06/2011 13:50:48,474.000
ON,04/08/2008 14:10:17,06/06/2011 14:10:17,68.000
OP,04/08/2008 00:00:00,21/06/2011 00:00:00,69.000
SAL,04/08/2008 14:09:28,15/11/2011 11:30:25,296.000
