Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,22/07/2010 10:16:23,13/10/2010 11:32:31,2.000
WQ_OXY_OXY,08/07/2010 10:53:33,13/10/2010 11:32:36,4.000
Conductivity,08/07/2010 10:53:55,13/10/2010 11:33:21,6.000
WQ_GEO_K,22/07/2010 10:16:13,13/10/2010 11:32:54,2.000
WQ_CAR_DIC,22/07/2010 10:15:57,13/10/2010 11:33:13,5.000
WQ_GEO_AL,22/07/2010 10:15:32,13/10/2010 11:32:22,2.000
WQ_DIAG_TOT_TAL,22/07/2010 10:15:11,13/10/2010 11:33:15,2.000
WQ_GEO_CL,22/07/2010 10:16:02,13/10/2010 11:32:16,2.000
WQ_GEO_FEII,22/07/2010 10:15:13,13/10/2010 11:33:22,2.000
WQ_DIAG_TOT_TFE,22/07/2010 10:16:07,13/10/2010 11:32:03,2.000
WQ_GEO_MN,22/07/2010 10:16:21,13/10/2010 11:33:14,2.000
WQ_CAR_PH,08/07/2010 10:53:35,13/10/2010 11:33:05,6.000
WQ_SIL_RSI,22/07/2010 10:15:01,13/10/2010 11:32:59,2.000
WQ_GEO_NA,22/07/2010 10:16:25,13/10/2010 11:32:40,2.000
WQ_GEO_SO4,22/07/2010 10:15:39,13/10/2010 11:32:41,2.000
TEMP,08/07/2010 10:53:07,13/10/2010 11:32:41,4.000
WQ_DIAG_TOT_TURBIDITY,22/07/2010 10:15:16,13/10/2010 11:32:02,2.000
WQ_DIAG_TOT_TSS,22/07/2010 10:15:16,13/10/2010 11:32:02,2.000
WQ_TRC_SS1,22/07/2010 10:15:16,13/10/2010 11:32:02,2.000
SAL,08/07/2010 10:53:55,13/10/2010 11:33:21,6.000
