Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,12/07/2010 14:06:06,24/03/2011 10:15:56,3.000
WQ_OXY_OXY,12/07/2010 14:06:04,06/02/2013 12:56:23,11.000
Conductivity,12/07/2010 14:05:22,06/02/2013 12:55:32,14.000
WQ_GEO_K,12/07/2010 14:05:52,24/03/2011 10:16:03,3.000
WQ_CAR_DIC,12/07/2010 14:05:23,06/02/2013 12:55:00,14.000
WQ_GEO_AL,12/07/2010 14:06:15,24/03/2011 10:15:57,3.000
WQ_DIAG_TOT_TAL,12/07/2010 14:05:03,24/03/2011 10:15:02,3.000
WQ_GEO_CL,12/07/2010 14:05:27,24/03/2011 10:15:39,3.000
WQ_GEO_FEII,12/07/2010 14:05:06,24/03/2011 10:15:04,3.000
WQ_DIAG_TOT_TFE,12/07/2010 14:05:53,24/03/2011 10:15:08,3.000
WQ_GEO_MN,16/02/2011 10:55:04,24/03/2011 10:16:19,2.000
WQ_CAR_PH,12/07/2010 14:05:27,06/02/2013 12:55:18,14.000
WQ_SIL_RSI,12/07/2010 14:05:55,24/03/2011 10:15:50,3.000
WQ_GEO_NA,12/07/2010 14:05:57,24/03/2011 10:16:09,3.000
WQ_GEO_SO4,12/07/2010 14:05:08,24/03/2011 10:15:24,3.000
TEMP,12/07/2010 14:05:36,06/02/2013 12:55:11,11.000
WQ_DIAG_TOT_TURBIDITY,12/07/2010 14:06:08,24/03/2011 10:15:13,3.000
WQ_DIAG_TOT_TSS,12/07/2010 14:06:08,24/03/2011 10:15:13,3.000
WQ_TRC_SS1,12/07/2010 14:06:08,24/03/2011 10:15:13,3.000
SAL,12/07/2010 14:05:22,06/02/2013 12:55:32,14.000
