Variable Name,Min Date,Max Date,Number of Samples
Conductivity,24/06/2009 13:11:12,24/06/2009 13:11:12,1.000
WQ_DIAG_TOT_TKN,24/06/2009 13:11:11,24/06/2009 13:11:11,1.000
WQ_CAR_DIC,24/06/2009 13:10:34,24/06/2009 13:10:34,1.000
WQ_GEO_AL,24/06/2009 13:11:17,24/06/2009 13:11:17,1.000
WQ_DIAG_TOT_TAL,24/06/2009 13:10:52,24/06/2009 13:10:52,1.000
WQ_NIT_AMM,24/06/2009 13:11:04,24/06/2009 13:11:04,1.000
WQ_GEO_CA,24/06/2009 13:11:21,24/06/2009 13:11:21,1.000
WQ_GEO_CL,24/06/2009 13:11:26,24/06/2009 13:11:26,1.000
WQ_GEO_FEII,24/06/2009 13:10:50,24/06/2009 13:10:50,1.000
WQ_DIAG_TOT_TFE,24/06/2009 13:10:07,24/06/2009 13:10:07,1.000
WQ_GEO_MG,24/06/2009 13:11:06,24/06/2009 13:11:06,1.000
WQ_GEO_MN,24/06/2009 13:10:49,24/06/2009 13:10:49,1.000
WQ_DIAG_TOT_TN,24/06/2009 13:10:33,24/06/2009 13:10:33,1.000
WQ_CAR_PH,24/06/2009 13:10:24,24/06/2009 13:10:24,1.000
WQ_DIAG_TOT_TP,24/06/2009 13:10:16,24/06/2009 13:10:16,1.000
WQ_GEO_K,24/06/2009 13:10:33,24/06/2009 13:10:33,1.000
WQ_GEO_NA,24/06/2009 13:10:32,24/06/2009 13:10:32,1.000
WQ_GEO_SO4,24/06/2009 13:11:22,24/06/2009 13:11:22,1.000
SAL,24/06/2009 13:11:12,24/06/2009 13:11:12,1.000
