Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,04/08/2008 16:01:06,16/04/2014 00:00:58,140.000
WQ_OXY_OXY,24/01/2008 00:00:50,18/12/2013 07:45:08,279.000
Conductivity,24/01/2008 00:00:55,16/10/2014 00:00:47,424.000
WQ_NIT_NIT,28/01/2010 14:36:05,09/12/2014 00:01:01,134.000
WQ_PHS_FRP,28/01/2010 14:35:32,09/12/2014 00:00:27,133.000
WQ_GEO_K,04/08/2008 16:02:10,16/04/2014 00:01:18,139.000
WQ_DIAG_TOT_TKN,24/01/2008 00:01:07,09/12/2014 00:00:12,177.000
WQ_DIAG_TOT_TOC,04/08/2008 16:01:59,17/07/2012 08:54:25,70.000
WQ_DIAG_TOT_TURBIDITY,24/01/2008 00:00:26,16/10/2014 00:00:20,656.000
WQ_CAR_DIC,24/01/2008 00:00:34,16/10/2014 00:00:11,301.000
WQ_GEO_AL,19/06/2008 12:00:31,16/04/2014 00:00:26,85.000
WQ_DIAG_TOT_TAL,19/06/2008 12:01:06,16/10/2014 00:00:47,143.000
WQ_NIT_AMM,04/08/2008 16:02:26,09/12/2014 00:00:27,174.000
WQ_GEO_CALCITE,28/10/2009 14:15:15,25/11/2009 15:00:38,2.000
WQ_GEO_CL,04/08/2008 16:01:54,16/10/2014 00:01:17,156.000
WQ_PHY_GRN,04/08/2008 16:01:41,28/10/2009 14:05:33,31.000
WQ_GEO_FEII,04/08/2008 16:02:11,22/06/2010 10:36:11,32.000
WQ_DIAG_TOT_TFE,04/08/2008 16:02:12,16/10/2014 00:00:12,143.000
WQ_GEO_MG,04/08/2008 16:02:14,18/12/2009 09:30:52,19.000
WQ_GEO_MN,04/08/2008 16:01:01,22/06/2010 10:35:06,32.000
WQ_DIAG_TOT_TN,24/01/2008 00:01:09,26/06/2013 09:50:32,154.000
WQ_OGM_DOC,04/08/2008 16:01:09,16/10/2014 00:01:18,146.000
WQ_CAR_PH,24/01/2008 00:00:56,16/10/2014 00:00:13,409.000
WQ_DIAG_TOT_TP,24/01/2008 00:00:28,09/12/2014 00:01:00,181.000
WQ_SIL_RSI,05/07/2010 12:15:38,09/12/2014 00:00:08,122.000
WQ_GEO_NA,04/08/2008 16:02:02,16/04/2014 00:00:50,139.000
WQ_GEO_SO4,04/08/2008 16:01:14,16/04/2014 00:00:36,160.000
WQ_DIAG_TOT_TSS,04/08/2008 16:01:52,19/12/2009 15:11:19,35.000
TEMP,24/01/2008 00:00:37,18/12/2013 07:45:07,294.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_PHY_TCHLA,04/08/2008 16:01:41,28/10/2009 14:05:33,31.000
WQ_TRC_SS1,24/01/2008 00:00:26,16/10/2014 00:00:20,658.000
ON,24/01/2008 00:01:07,12/11/2014 00:01:07,176.000
OP,24/01/2008 00:00:00,09/12/2014 00:00:00,181.000
SAL,24/01/2008 00:00:55,16/10/2014 00:00:47,424.000
