Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,04/08/2008 13:03:19,28/06/2011 11:30:36,42.000
WQ_OXY_OXY,04/08/2008 13:04:07,28/06/2011 11:30:29,101.000
Conductivity,04/08/2008 13:03:43,28/06/2011 11:30:35,164.000
WQ_NIT_NIT,18/02/2010 12:30:17,28/06/2011 11:30:52,23.000
WQ_PHS_FRP,18/02/2010 12:30:51,28/06/2011 11:30:59,23.000
WQ_GEO_K,04/08/2008 13:03:59,28/06/2011 11:30:58,42.000
WQ_DIAG_TOT_TKN,04/08/2008 13:03:25,28/06/2011 11:30:05,44.000
WQ_DIAG_TOT_TOC,04/08/2008 13:04:17,28/06/2011 11:30:16,15.000
WQ_DIAG_TOT_TURBIDITY,04/08/2008 13:03:17,28/06/2011 11:30:55,216.000
WQ_CAR_DIC,04/08/2008 13:03:10,28/06/2011 11:30:43,117.000
WQ_GEO_AL,04/08/2008 13:03:49,23/06/2010 12:05:01,31.000
WQ_DIAG_TOT_TAL,04/08/2008 13:04:06,28/06/2011 11:30:39,44.000
WQ_NIT_AMM,04/08/2008 13:03:17,28/06/2011 11:31:06,36.000
WQ_GEO_CALCITE,27/10/2009 13:40:16,24/11/2009 14:45:09,2.000
WQ_GEO_CL,04/08/2008 13:04:07,28/06/2011 11:30:16,44.000
WQ_PHY_GRN,04/08/2008 13:03:43,27/10/2009 13:40:37,17.000
WQ_GEO_FEII,04/08/2008 13:03:06,19/12/2009 15:10:14,20.000
WQ_DIAG_TOT_TFE,04/08/2008 13:03:34,28/06/2011 11:31:25,44.000
WQ_GEO_MG,04/08/2008 13:03:59,19/12/2009 15:11:15,19.000
WQ_GEO_MN,04/08/2008 13:03:11,19/12/2009 15:10:11,21.000
WQ_DIAG_TOT_TN,04/08/2008 13:03:37,28/06/2011 11:30:48,44.000
WQ_OGM_DOC,04/08/2008 13:03:11,28/06/2011 11:30:39,26.000
WQ_CAR_PH,04/08/2008 13:03:42,28/06/2011 11:31:18,165.000
WQ_DIAG_TOT_TP,04/08/2008 13:04:17,28/06/2011 11:30:32,44.000
WQ_SIL_RSI,18/02/2010 12:30:16,28/06/2011 11:31:03,23.000
WQ_GEO_NA,04/08/2008 13:03:33,28/06/2011 11:30:14,42.000
WQ_GEO_SO4,04/08/2008 13:03:04,28/06/2011 11:31:05,44.000
WQ_DIAG_TOT_TSS,04/08/2008 13:03:41,18/12/2009 12:30:47,19.000
TEMP,04/08/2008 13:04:23,28/06/2011 11:30:40,135.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_PHY_TCHLA,04/08/2008 13:03:43,27/10/2009 13:40:37,17.000
WQ_TRC_SS1,04/08/2008 13:03:17,28/06/2011 11:30:55,216.000
ON,04/08/2008 13:03:25,26/05/2011 13:03:25,43.000
OP,04/08/2008 00:00:00,28/06/2011 00:00:00,44.000
SAL,04/08/2008 13:03:43,28/06/2011 11:30:35,164.000
