Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,12/07/2010 15:15:13,12/07/2010 15:15:13,1.000
WQ_OXY_OXY,12/07/2010 15:16:25,12/07/2010 15:16:25,1.000
Conductivity,12/07/2010 15:15:35,12/07/2010 15:16:21,2.000
WQ_GEO_K,12/07/2010 15:15:06,12/07/2010 15:15:06,1.000
WQ_CAR_DIC,12/07/2010 15:15:53,12/07/2010 15:15:58,2.000
WQ_GEO_AL,12/07/2010 15:15:21,12/07/2010 15:15:21,1.000
WQ_DIAG_TOT_TAL,12/07/2010 15:15:48,12/07/2010 15:15:48,1.000
WQ_GEO_CL,12/07/2010 15:16:12,12/07/2010 15:16:12,1.000
WQ_GEO_FEII,12/07/2010 15:15:55,12/07/2010 15:15:55,1.000
WQ_DIAG_TOT_TFE,12/07/2010 15:15:01,12/07/2010 15:15:01,1.000
WQ_GEO_MN,12/07/2010 15:15:48,12/07/2010 15:15:48,1.000
WQ_CAR_PH,12/07/2010 15:15:35,12/07/2010 15:16:24,2.000
WQ_SIL_RSI,12/07/2010 15:16:00,12/07/2010 15:16:00,1.000
WQ_GEO_NA,12/07/2010 15:15:33,12/07/2010 15:15:33,1.000
WQ_GEO_SO4,12/07/2010 15:16:12,12/07/2010 15:16:12,1.000
TEMP,12/07/2010 15:15:16,12/07/2010 15:15:16,1.000
WQ_DIAG_TOT_TURBIDITY,12/07/2010 15:16:15,12/07/2010 15:16:15,1.000
WQ_DIAG_TOT_TSS,12/07/2010 15:16:15,12/07/2010 15:16:15,1.000
WQ_TRC_SS1,12/07/2010 15:16:15,12/07/2010 15:16:15,1.000
SAL,12/07/2010 15:15:35,12/07/2010 15:16:21,2.000
