Variable Name,Min Date,Max Date,Number of Samples
Conductivity,11/07/2003 00:01:03,24/07/2018 00:00:44,5151.000
WQ_DIAG_TOT_TKN,14/05/2008 12:55:30,14/05/2008 12:55:30,1.000
WQ_DIAG_TOT_TURBIDITY,14/05/2008 12:55:28,14/05/2008 12:55:28,1.000
WQ_CAR_DIC,14/05/2008 12:55:43,14/05/2008 12:55:43,1.000
WQ_GEO_CA,14/05/2008 12:55:33,14/05/2008 12:55:33,1.000
WQ_GEO_CL,14/05/2008 12:55:28,14/05/2008 12:55:28,1.000
WQ_DIAG_TOT_TFE,14/05/2008 12:56:25,14/05/2008 12:56:25,1.000
WQ_GEO_MG,14/05/2008 12:56:12,14/05/2008 12:56:12,1.000
WQ_DIAG_TOT_TN,14/05/2008 12:55:52,14/05/2008 12:55:52,1.000
WQ_CAR_PH,14/05/2008 12:55:40,14/05/2008 12:55:40,1.000
WQ_DIAG_TOT_TP,14/05/2008 12:55:39,14/05/2008 12:55:39,1.000
WQ_GEO_K,14/05/2008 12:55:21,14/05/2008 12:55:21,1.000
WQ_SIL_RSI,14/05/2008 12:55:17,14/05/2008 12:55:17,1.000
WQ_GEO_NA,14/05/2008 12:55:46,14/05/2008 12:55:46,1.000
WQ_GEO_SO4,14/05/2008 12:55:25,14/05/2008 12:55:25,1.000
WQ_DIAG_TOT_TSS,14/05/2008 12:55:28,14/05/2008 12:55:28,1.000
WQ_TRC_SS1,14/05/2008 12:55:28,14/05/2008 12:55:28,1.000
SAL,10/07/2003 00:00:49,02/09/2018 00:00:32,5535.000
