Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,04/08/2008 12:24:45,16/04/2014 00:00:50,62.000
WQ_OXY_OXY,04/08/2008 12:24:52,09/12/2014 10:00:24,194.000
Conductivity,04/08/2008 12:24:56,09/12/2014 10:00:33,283.000
WQ_NIT_NIT,12/01/2012 11:18:00,09/12/2014 00:01:11,55.000
WQ_PHS_FRP,12/01/2012 11:18:28,09/12/2014 00:00:12,55.000
WQ_GEO_K,04/08/2008 12:25:26,16/04/2014 00:01:12,62.000
WQ_DIAG_TOT_TKN,04/08/2008 12:25:00,09/12/2014 00:00:04,76.000
WQ_DIAG_TOT_TURBIDITY,04/08/2008 12:24:10,09/12/2014 10:01:09,438.000
WQ_CAR_DIC,04/08/2008 12:24:06,09/12/2014 10:00:30,176.000
WQ_GEO_AL,04/08/2008 12:24:39,16/04/2014 00:00:42,52.000
WQ_DIAG_TOT_TAL,04/08/2008 12:24:36,16/10/2014 00:01:03,66.000
WQ_NIT_AMM,04/08/2008 12:24:37,09/12/2014 00:00:20,76.000
WQ_GEO_CALCITE,27/10/2009 13:25:21,24/11/2009 14:00:08,2.000
WQ_GEO_CL,04/08/2008 12:25:00,16/10/2014 00:00:43,66.000
WQ_PHY_GRN,04/08/2008 12:24:04,27/10/2009 13:25:59,17.000
WQ_GEO_FEII,04/08/2008 12:24:24,19/12/2009 11:55:09,21.000
WQ_DIAG_TOT_TFE,04/08/2008 12:25:21,16/10/2014 00:00:28,66.000
WQ_GEO_MG,04/08/2008 12:24:44,19/12/2009 11:55:35,19.000
WQ_GEO_MN,04/08/2008 12:24:26,19/12/2009 11:56:20,21.000
WQ_DIAG_TOT_TN,04/08/2008 12:25:20,12/06/2013 11:25:54,53.000
WQ_OGM_DOC,04/08/2008 12:24:33,16/10/2014 00:01:07,64.000
WQ_DIAG_TOT_TOC,04/08/2008 12:24:54,18/12/2009 11:50:32,11.000
WQ_CAR_PH,04/08/2008 12:24:03,09/12/2014 10:00:03,268.000
WQ_DIAG_TOT_TP,04/08/2008 12:24:54,09/12/2014 00:00:13,76.000
WQ_SIL_RSI,12/01/2012 11:18:27,09/12/2014 00:00:46,55.000
WQ_GEO_NA,04/08/2008 12:25:13,16/04/2014 00:00:14,62.000
WQ_GEO_SO4,04/08/2008 12:25:13,16/04/2014 00:01:01,64.000
WQ_DIAG_TOT_TSS,04/08/2008 12:24:13,16/04/2013 10:26:38,31.000
TEMP,04/08/2008 12:24:06,09/12/2014 10:01:15,232.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_PHY_TCHLA,04/08/2008 12:24:04,27/10/2009 13:25:59,17.000
WQ_TRC_SS1,04/08/2008 12:24:10,09/12/2014 10:01:09,438.000
ON,04/08/2008 12:25:00,12/11/2014 12:25:00,75.000
OP,04/08/2008 00:00:00,09/12/2014 00:00:00,76.000
SAL,04/08/2008 12:24:56,09/12/2014 10:00:33,283.000
