Variable Name,Min Date,Max Date,Number of Samples
Conductivity,24/06/2009 14:15:12,24/06/2009 14:15:12,1.000
WQ_DIAG_TOT_TKN,24/06/2009 14:16:23,24/06/2009 14:16:23,1.000
WQ_CAR_DIC,24/06/2009 14:16:03,24/06/2009 14:16:03,1.000
WQ_GEO_AL,24/06/2009 14:15:05,24/06/2009 14:15:05,1.000
WQ_DIAG_TOT_TAL,24/06/2009 14:15:47,24/06/2009 14:15:47,1.000
WQ_NIT_AMM,24/06/2009 14:15:44,24/06/2009 14:15:44,1.000
WQ_GEO_CA,24/06/2009 14:15:06,24/06/2009 14:15:06,1.000
WQ_GEO_CL,24/06/2009 14:15:49,24/06/2009 14:15:49,1.000
WQ_GEO_FEII,24/06/2009 14:15:53,24/06/2009 14:15:53,1.000
WQ_DIAG_TOT_TFE,24/06/2009 14:15:13,24/06/2009 14:15:13,1.000
WQ_GEO_MG,24/06/2009 14:15:49,24/06/2009 14:15:49,1.000
WQ_GEO_MN,24/06/2009 14:15:50,24/06/2009 14:15:50,1.000
WQ_DIAG_TOT_TN,24/06/2009 14:15:57,24/06/2009 14:15:57,1.000
WQ_CAR_PH,24/06/2009 14:15:08,24/06/2009 14:15:08,1.000
WQ_DIAG_TOT_TP,24/06/2009 14:15:54,24/06/2009 14:15:54,1.000
WQ_GEO_K,24/06/2009 14:15:15,24/06/2009 14:15:15,1.000
WQ_GEO_NA,24/06/2009 14:15:13,24/06/2009 14:15:13,1.000
WQ_GEO_SO4,24/06/2009 14:15:18,24/06/2009 14:15:18,1.000
SAL,24/06/2009 14:15:12,24/06/2009 14:15:12,1.000
