Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,02/12/2010 13:05:28,02/12/2010 13:05:28,1.000
Conductivity,02/12/2010 13:05:50,02/12/2010 13:05:50,1.000
WQ_NIT_NIT,02/12/2010 13:05:16,02/12/2010 13:05:16,1.000
WQ_PHS_FRP,02/12/2010 13:05:56,02/12/2010 13:05:56,1.000
WQ_GEO_K,02/12/2010 13:06:04,02/12/2010 13:06:04,1.000
WQ_DIAG_TOT_TKN,02/12/2010 13:05:19,02/12/2010 13:05:19,1.000
WQ_CAR_DIC,02/12/2010 13:05:55,02/12/2010 13:05:55,1.000
WQ_GEO_AL,02/12/2010 13:05:21,02/12/2010 13:05:21,1.000
WQ_DIAG_TOT_TAL,02/12/2010 13:05:47,02/12/2010 13:05:47,1.000
WQ_NIT_AMM,02/12/2010 13:05:06,02/12/2010 13:05:06,1.000
WQ_GEO_CL,02/12/2010 13:05:33,02/12/2010 13:05:33,1.000
WQ_GEO_FEII,02/12/2010 13:05:46,02/12/2010 13:05:46,1.000
WQ_DIAG_TOT_TFE,02/12/2010 13:06:16,02/12/2010 13:06:16,1.000
WQ_GEO_MN,02/12/2010 13:06:20,02/12/2010 13:06:20,1.000
WQ_DIAG_TOT_TN,02/12/2010 13:06:06,02/12/2010 13:06:06,1.000
WQ_CAR_PH,02/12/2010 13:05:33,02/12/2010 13:05:33,1.000
WQ_DIAG_TOT_TP,02/12/2010 13:06:18,02/12/2010 13:06:18,1.000
WQ_SIL_RSI,02/12/2010 13:05:37,02/12/2010 13:05:37,1.000
WQ_GEO_NA,02/12/2010 13:05:37,02/12/2010 13:05:37,1.000
WQ_GEO_SO4,02/12/2010 13:05:07,02/12/2010 13:05:07,1.000
WQ_DIAG_TOT_TURBIDITY,02/12/2010 13:05:45,02/12/2010 13:05:45,1.000
WQ_DIAG_TOT_TSS,02/12/2010 13:05:45,02/12/2010 13:05:45,1.000
WQ_TRC_SS1,02/12/2010 13:05:45,02/12/2010 13:05:45,1.000
SAL,02/12/2010 13:05:50,02/12/2010 13:05:50,1.000
