Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,02/12/2010 14:00:43,02/12/2010 14:00:43,1.000
Conductivity,02/12/2010 14:01:15,02/12/2010 14:01:15,1.000
WQ_NIT_NIT,02/12/2010 14:00:53,02/12/2010 14:00:53,1.000
WQ_PHS_FRP,02/12/2010 14:01:13,02/12/2010 14:01:13,1.000
WQ_GEO_K,02/12/2010 14:00:48,02/12/2010 14:00:48,1.000
WQ_DIAG_TOT_TKN,02/12/2010 14:00:03,02/12/2010 14:00:03,1.000
WQ_CAR_DIC,02/12/2010 14:00:33,02/12/2010 14:00:33,1.000
WQ_GEO_AL,02/12/2010 14:00:25,02/12/2010 14:00:25,1.000
WQ_DIAG_TOT_TAL,02/12/2010 14:00:35,02/12/2010 14:00:35,1.000
WQ_NIT_AMM,02/12/2010 14:00:56,02/12/2010 14:00:56,1.000
WQ_GEO_CL,02/12/2010 14:01:16,02/12/2010 14:01:16,1.000
WQ_GEO_FEII,02/12/2010 14:01:10,02/12/2010 14:01:10,1.000
WQ_DIAG_TOT_TFE,02/12/2010 14:01:17,02/12/2010 14:01:17,1.000
WQ_GEO_MN,02/12/2010 14:00:57,02/12/2010 14:00:57,1.000
WQ_DIAG_TOT_TN,02/12/2010 14:00:32,02/12/2010 14:00:32,1.000
WQ_CAR_PH,02/12/2010 14:01:10,02/12/2010 14:01:10,1.000
WQ_DIAG_TOT_TP,02/12/2010 14:00:52,02/12/2010 14:00:52,1.000
WQ_SIL_RSI,02/12/2010 14:00:07,02/12/2010 14:00:07,1.000
WQ_GEO_NA,02/12/2010 14:01:21,02/12/2010 14:01:21,1.000
WQ_GEO_SO4,02/12/2010 14:00:45,02/12/2010 14:00:45,1.000
WQ_DIAG_TOT_TURBIDITY,02/12/2010 14:01:12,02/12/2010 14:01:12,1.000
WQ_DIAG_TOT_TSS,02/12/2010 14:01:12,02/12/2010 14:01:12,1.000
WQ_TRC_SS1,02/12/2010 14:01:12,02/12/2010 14:01:12,1.000
SAL,02/12/2010 14:01:15,02/12/2010 14:01:15,1.000
