Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,02/12/2010 14:36:11,02/12/2010 14:36:11,1.000
Conductivity,02/12/2010 14:35:27,02/12/2010 14:35:27,1.000
WQ_NIT_NIT,02/12/2010 14:35:30,02/12/2010 14:35:30,1.000
WQ_PHS_FRP,02/12/2010 14:35:32,02/12/2010 14:35:32,1.000
WQ_GEO_K,02/12/2010 14:35:46,02/12/2010 14:35:46,1.000
WQ_DIAG_TOT_TKN,02/12/2010 14:35:47,02/12/2010 14:35:47,1.000
WQ_CAR_DIC,02/12/2010 14:35:02,02/12/2010 14:35:02,1.000
WQ_GEO_AL,02/12/2010 14:35:20,02/12/2010 14:35:20,1.000
WQ_DIAG_TOT_TAL,02/12/2010 14:35:24,02/12/2010 14:35:24,1.000
WQ_NIT_AMM,02/12/2010 14:35:47,02/12/2010 14:35:47,1.000
WQ_GEO_CL,02/12/2010 14:36:02,02/12/2010 14:36:02,1.000
WQ_GEO_FEII,02/12/2010 14:36:03,02/12/2010 14:36:03,1.000
WQ_DIAG_TOT_TFE,02/12/2010 14:35:15,02/12/2010 14:35:15,1.000
WQ_GEO_MN,02/12/2010 14:35:09,02/12/2010 14:35:09,1.000
WQ_DIAG_TOT_TN,02/12/2010 14:35:53,02/12/2010 14:35:53,1.000
WQ_CAR_PH,02/12/2010 14:35:28,02/12/2010 14:35:28,1.000
WQ_DIAG_TOT_TP,02/12/2010 14:35:20,02/12/2010 14:35:20,1.000
WQ_SIL_RSI,02/12/2010 14:35:15,02/12/2010 14:35:15,1.000
WQ_GEO_NA,02/12/2010 14:35:22,02/12/2010 14:35:22,1.000
WQ_GEO_SO4,02/12/2010 14:36:18,02/12/2010 14:36:18,1.000
WQ_DIAG_TOT_TURBIDITY,02/12/2010 14:36:14,02/12/2010 14:36:14,1.000
WQ_DIAG_TOT_TSS,02/12/2010 14:36:14,02/12/2010 14:36:14,1.000
WQ_TRC_SS1,02/12/2010 14:36:14,02/12/2010 14:36:14,1.000
SAL,02/12/2010 14:35:27,02/12/2010 14:35:27,1.000
