Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,04/08/2008 11:33:18,01/09/2009 13:55:08,82.000
Conductivity,04/08/2008 11:32:27,10/11/2009 12:10:11,98.000
WQ_DIAG_TOT_TKN,04/08/2008 11:33:25,01/09/2009 00:00:33,18.000
WQ_DIAG_TOT_TURBIDITY,04/08/2008 11:32:23,01/09/2009 13:54:41,70.000
WQ_CAR_DIC,04/08/2008 11:32:44,10/11/2009 12:10:58,53.000
WQ_NIT_AMM,04/08/2008 11:33:09,01/09/2009 00:00:44,18.000
WQ_GEO_CL,17/02/2009 13:00:27,01/09/2009 00:01:26,11.000
WQ_PHY_GRN,04/08/2008 11:32:23,01/09/2009 13:50:11,15.000
WQ_DIAG_TOT_TN,04/08/2008 11:32:29,01/09/2009 00:00:07,18.000
WQ_OGM_DOC,04/08/2008 11:33:02,01/09/2009 00:00:35,18.000
WQ_DIAG_TOT_TOC,04/08/2008 11:33:09,17/02/2009 13:00:44,8.000
WQ_CAR_PH,04/08/2008 11:33:11,10/11/2009 12:10:26,93.000
WQ_DIAG_TOT_TP,04/08/2008 11:32:29,01/09/2009 00:01:22,18.000
WQ_GEO_SO4,04/08/2008 11:32:00,01/09/2009 00:00:46,17.000
WQ_DIAG_TOT_TSS,04/08/2008 11:33:08,01/09/2009 13:50:08,15.000
TEMP,04/08/2008 11:32:53,10/11/2009 12:11:20,98.000
WQ_DIAG_PHY_TCHLA,04/08/2008 11:32:23,01/09/2009 13:50:11,15.000
WQ_TRC_SS1,04/08/2008 11:32:23,01/09/2009 13:54:41,70.000
ON,04/08/2008 11:33:25,04/08/2009 11:33:25,16.000
SAL,04/08/2008 11:32:27,10/11/2009 12:10:11,98.000
