Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,26/05/2010 13:41:13,11/07/2012 10:16:16,8.000
WQ_OXY_OXY,14/08/2009 12:05:25,06/02/2013 10:30:22,34.000
Conductivity,14/08/2009 12:05:26,06/02/2013 10:30:46,54.000
WQ_GEO_K,26/05/2010 13:40:59,11/07/2012 10:16:22,8.000
WQ_CAR_DIC,12/05/2010 15:00:15,06/02/2013 10:31:24,28.000
WQ_GEO_AL,11/11/2009 10:35:50,06/02/2013 10:31:01,15.000
WQ_DIAG_TOT_TAL,11/11/2009 10:35:30,06/02/2013 10:30:16,15.000
WQ_GEO_CL,13/04/2010 13:41:04,06/02/2013 10:31:24,13.000
WQ_GEO_FEII,11/11/2009 10:36:01,06/02/2013 10:30:01,15.000
WQ_DIAG_TOT_TFE,11/11/2009 10:35:44,06/02/2013 10:31:08,15.000
WQ_GEO_MN,26/05/2010 13:40:12,11/07/2012 10:15:12,6.000
WQ_CAR_PH,14/08/2009 12:05:55,06/02/2013 10:30:57,52.000
WQ_SIL_RSI,26/05/2010 13:41:19,11/07/2012 10:15:24,8.000
WQ_GEO_NA,26/05/2010 13:40:26,11/07/2012 10:15:13,8.000
WQ_GEO_SO4,13/04/2010 13:40:38,06/02/2013 10:31:00,13.000
TEMP,14/08/2009 12:06:23,06/02/2013 10:30:35,38.000
WQ_DIAG_TOT_TURBIDITY,26/05/2010 13:40:32,11/07/2012 10:15:13,8.000
WQ_DIAG_TOT_TSS,26/05/2010 13:40:32,11/07/2012 10:15:13,8.000
WQ_TRC_SS1,26/05/2010 13:40:32,11/07/2012 10:15:13,8.000
SAL,14/08/2009 12:05:26,06/02/2013 10:30:46,54.000
