Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,24/01/2008 06:25:53,16/04/2014 00:00:49,133.000
WQ_OXY_OXY,24/01/2008 06:26:10,09/12/2014 11:00:06,145.000
Conductivity,24/01/2008 06:25:59,09/12/2014 11:00:13,288.000
WQ_NIT_NIT,04/01/2010 17:00:06,09/12/2014 00:01:21,98.000
WQ_PHS_FRP,04/01/2010 17:01:21,09/12/2014 00:00:57,98.000
WQ_GEO_K,24/01/2008 06:25:52,16/04/2014 00:01:23,133.000
WQ_DIAG_TOT_TKN,24/01/2008 06:25:49,09/12/2014 00:00:12,164.000
WQ_DIAG_TOT_TOC,06/08/2008 11:28:40,23/06/2011 12:56:20,13.000
WQ_DIAG_TOT_TURBIDITY,24/01/2008 06:25:53,09/12/2014 11:00:09,472.000
WQ_CAR_DIC,24/01/2008 06:25:59,09/12/2014 11:00:27,244.000
WQ_GEO_AL,23/04/2008 00:00:20,16/04/2014 00:00:23,85.000
WQ_DIAG_TOT_TAL,23/04/2008 00:00:34,16/10/2014 00:00:13,129.000
WQ_NIT_AMM,06/08/2008 11:28:37,09/12/2014 00:00:44,109.000
WQ_GEO_CL,24/01/2008 06:25:08,16/10/2014 00:01:11,147.000
WQ_PHY_GRN,06/08/2008 11:28:40,27/10/2009 08:50:37,16.000
WQ_DIAG_TOT_TFE,24/01/2008 06:26:20,16/10/2014 00:00:59,135.000
WQ_GEO_MG,24/01/2008 06:26:19,09/12/2009 09:10:05,47.000
WQ_DIAG_TOT_TN,24/01/2008 06:26:17,12/06/2013 12:51:04,141.000
WQ_OGM_DOC,24/01/2008 06:25:18,16/10/2014 00:00:54,69.000
WQ_CAR_PH,24/01/2008 06:25:04,09/12/2014 11:00:14,292.000
WQ_DIAG_TOT_TP,24/01/2008 06:25:49,09/12/2014 00:00:59,164.000
SAL,24/01/2008 06:25:59,09/12/2014 11:00:13,288.000
WQ_SIL_RSI,24/01/2008 06:25:30,09/12/2014 00:00:02,144.000
WQ_GEO_NA,24/01/2008 06:25:57,16/04/2014 00:00:40,133.000
WQ_GEO_SO4,24/01/2008 06:25:59,16/04/2014 00:00:17,153.000
WQ_DIAG_TOT_TSS,06/08/2008 11:28:48,16/04/2013 11:56:04,30.000
TEMP,24/01/2008 06:25:22,09/12/2014 11:00:32,150.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_PHY_TCHLA,06/08/2008 11:28:40,27/10/2009 08:50:37,16.000
WQ_TRC_SS1,24/01/2008 06:25:53,09/12/2014 11:00:09,472.000
ON,24/01/2008 06:25:49,12/11/2014 06:25:49,163.000
OP,24/01/2008 00:00:00,09/12/2014 00:00:00,164.000
