Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,25/01/2008 10:13:06,16/04/2014 00:00:01,95.000
WQ_OXY_OXY,25/01/2008 10:13:07,16/10/2014 10:28:49,85.000
Conductivity,07/01/2008 09:44:52,16/10/2014 10:28:26,344.000
WQ_NIT_NIT,27/01/2010 12:19:20,16/10/2014 00:01:25,94.000
WQ_PHS_FRP,27/01/2010 12:18:14,16/10/2014 00:01:26,94.000
WQ_GEO_K,25/01/2008 10:12:12,16/04/2014 00:00:37,95.000
WQ_DIAG_TOT_TKN,25/01/2008 10:12:35,16/10/2014 00:00:29,118.000
WQ_DIAG_TOT_TOC,04/08/2008 20:11:22,28/06/2011 10:45:38,15.000
WQ_DIAG_TOT_TURBIDITY,07/01/2008 09:44:10,16/10/2014 10:28:34,506.000
WQ_CAR_DIC,25/01/2008 10:12:59,16/10/2014 10:28:57,225.000
WQ_GEO_AL,17/03/2008 09:28:15,16/04/2014 00:00:41,56.000
WQ_DIAG_TOT_TAL,17/03/2008 09:28:24,16/10/2014 00:00:19,95.000
WQ_NIT_AMM,04/08/2008 20:11:13,16/10/2014 00:01:11,106.000
WQ_GEO_CL,25/01/2008 10:12:29,16/10/2014 00:01:13,111.000
WQ_PHY_GRN,04/08/2008 20:10:16,28/10/2009 09:20:25,16.000
WQ_DIAG_TOT_TFE,25/01/2008 10:12:25,16/10/2014 00:00:15,97.000
WQ_GEO_MG,25/01/2008 10:12:26,17/03/2008 09:28:52,3.000
WQ_DIAG_TOT_TN,25/01/2008 10:13:26,12/06/2013 10:50:56,102.000
WQ_OGM_DOC,25/01/2008 10:12:18,16/10/2014 00:01:11,91.000
WQ_CAR_PH,07/01/2008 09:44:26,16/10/2014 10:28:25,332.000
WQ_DIAG_TOT_TP,25/01/2008 10:13:22,16/10/2014 00:01:10,118.000
WQ_SIL_RSI,25/01/2008 10:12:12,16/10/2014 00:01:03,97.000
WQ_GEO_NA,25/01/2008 10:12:26,16/04/2014 00:00:19,95.000
WQ_GEO_SO4,25/01/2008 10:12:33,16/04/2014 00:00:28,116.000
WQ_DIAG_TOT_TSS,04/08/2008 20:10:44,16/04/2013 09:52:47,37.000
TEMP,07/01/2008 09:44:23,16/10/2014 10:29:10,217.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_PHY_TCHLA,04/08/2008 20:10:16,28/10/2009 09:20:25,16.000
WQ_TRC_SS1,07/01/2008 09:44:10,16/10/2014 10:28:34,506.000
ON,25/01/2008 10:12:35,15/07/2014 10:12:35,117.000
OP,25/01/2008 00:00:00,16/10/2014 00:00:00,118.000
SAL,07/01/2008 09:44:52,16/10/2014 10:28:26,344.000
