Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,23/02/2011 11:00:27,23/02/2011 11:00:27,1.000
Conductivity,23/02/2011 11:00:18,23/02/2011 11:00:59,2.000
WQ_NIT_NIT,23/02/2011 11:00:13,23/02/2011 11:00:13,1.000
WQ_PHS_FRP,23/02/2011 11:00:50,23/02/2011 11:00:50,1.000
WQ_DIAG_TOT_TKN,23/02/2011 11:01:07,23/02/2011 11:01:07,1.000
WQ_CAR_DIC,23/02/2011 11:01:05,23/02/2011 11:01:16,2.000
WQ_NIT_AMM,23/02/2011 11:01:05,23/02/2011 11:01:05,1.000
WQ_DIAG_TOT_TN,23/02/2011 11:01:07,23/02/2011 11:01:07,1.000
WQ_CAR_PH,23/02/2011 11:00:34,23/02/2011 11:01:16,2.000
WQ_DIAG_TOT_TP,23/02/2011 11:01:02,23/02/2011 11:01:02,1.000
WQ_DIAG_TOT_TSS,23/02/2011 11:00:29,23/02/2011 11:00:29,1.000
TEMP,23/02/2011 11:00:17,23/02/2011 11:00:17,1.000
WQ_DIAG_TOT_TURBIDITY,23/02/2011 11:00:41,23/02/2011 11:00:41,1.000
WQ_TRC_SS1,23/02/2011 11:00:41,23/02/2011 11:00:41,1.000
SAL,23/02/2011 11:00:18,23/02/2011 11:00:59,2.000
