Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,25/02/2011 12:30:04,25/02/2011 12:30:04,1.000
Conductivity,25/02/2011 12:30:24,25/02/2011 12:30:44,2.000
WQ_NIT_NIT,25/02/2011 12:30:21,25/02/2011 12:30:21,1.000
WQ_PHS_FRP,25/02/2011 12:30:16,25/02/2011 12:30:16,1.000
WQ_DIAG_TOT_TKN,25/02/2011 12:30:22,25/02/2011 12:30:22,1.000
WQ_CAR_DIC,25/02/2011 12:31:01,25/02/2011 12:31:23,2.000
WQ_NIT_AMM,25/02/2011 12:30:28,25/02/2011 12:30:28,1.000
WQ_DIAG_TOT_TN,25/02/2011 12:31:19,25/02/2011 12:31:19,1.000
WQ_CAR_PH,25/02/2011 12:30:03,25/02/2011 12:30:10,2.000
WQ_DIAG_TOT_TP,25/02/2011 12:31:13,25/02/2011 12:31:13,1.000
WQ_DIAG_TOT_TSS,25/02/2011 12:31:17,25/02/2011 12:31:17,1.000
TEMP,25/02/2011 12:31:20,25/02/2011 12:31:20,1.000
WQ_DIAG_TOT_TURBIDITY,25/02/2011 12:30:14,25/02/2011 12:30:14,1.000
WQ_TRC_SS1,25/02/2011 12:30:14,25/02/2011 12:30:14,1.000
SAL,25/02/2011 12:30:24,25/02/2011 12:30:44,2.000
