Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,25/02/2011 08:50:02,25/02/2011 08:50:09,2.000
Conductivity,25/02/2011 08:51:04,25/02/2011 08:51:15,3.000
WQ_NIT_NIT,25/02/2011 08:50:13,25/02/2011 08:50:13,1.000
WQ_PHS_FRP,25/02/2011 08:50:26,25/02/2011 08:50:26,1.000
WQ_DIAG_TOT_TKN,25/02/2011 08:50:19,25/02/2011 08:50:19,1.000
WQ_CAR_DIC,25/02/2011 08:50:29,25/02/2011 08:51:12,2.000
WQ_NIT_AMM,25/02/2011 08:50:32,25/02/2011 08:50:32,1.000
WQ_DIAG_TOT_TN,25/02/2011 08:50:00,25/02/2011 08:50:00,1.000
WQ_CAR_PH,25/02/2011 08:50:21,25/02/2011 08:51:25,3.000
WQ_DIAG_TOT_TP,25/02/2011 08:51:14,25/02/2011 08:51:14,1.000
WQ_DIAG_TOT_TSS,25/02/2011 08:50:23,25/02/2011 08:50:23,1.000
TEMP,25/02/2011 08:50:47,25/02/2011 08:51:00,2.000
WQ_DIAG_TOT_TURBIDITY,25/02/2011 08:50:14,25/02/2011 08:50:14,1.000
WQ_TRC_SS1,25/02/2011 08:50:14,25/02/2011 08:50:14,1.000
SAL,25/02/2011 08:51:04,25/02/2011 08:51:15,3.000
