Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,04/03/2011 08:00:01,04/03/2011 08:00:01,1.000
Conductivity,04/03/2011 08:00:06,04/03/2011 08:00:21,2.000
WQ_NIT_NIT,04/03/2011 08:00:00,04/03/2011 08:00:00,1.000
WQ_PHS_FRP,04/03/2011 08:00:54,04/03/2011 08:00:54,1.000
WQ_DIAG_TOT_TKN,04/03/2011 08:00:47,04/03/2011 08:00:47,1.000
WQ_CAR_DIC,04/03/2011 08:00:16,04/03/2011 08:01:24,2.000
WQ_NIT_AMM,04/03/2011 08:00:49,04/03/2011 08:00:49,1.000
WQ_DIAG_TOT_TN,04/03/2011 08:00:31,04/03/2011 08:00:31,1.000
WQ_CAR_PH,04/03/2011 08:00:44,04/03/2011 08:00:51,2.000
WQ_DIAG_TOT_TP,04/03/2011 08:00:04,04/03/2011 08:00:04,1.000
WQ_DIAG_TOT_TSS,04/03/2011 08:00:06,04/03/2011 08:00:06,1.000
TEMP,04/03/2011 08:01:23,04/03/2011 08:01:23,1.000
WQ_DIAG_TOT_TURBIDITY,04/03/2011 08:01:10,04/03/2011 08:01:10,1.000
WQ_TRC_SS1,04/03/2011 08:01:10,04/03/2011 08:01:10,1.000
SAL,04/03/2011 08:00:06,04/03/2011 08:00:21,2.000
