Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,01/07/2010 13:00:29,03/08/2010 13:45:36,3.000
WQ_OXY_OXY,01/07/2010 13:01:08,03/08/2010 13:45:08,3.000
Conductivity,27/02/2008 14:20:09,03/08/2010 13:45:32,15.000
WQ_GEO_K,01/07/2010 13:00:35,03/08/2010 13:45:46,3.000
WQ_CAR_DIC,25/08/2009 00:01:16,03/08/2010 13:46:03,3.000
WQ_GEO_AL,27/02/2008 14:20:28,03/08/2010 13:45:03,11.000
WQ_DIAG_TOT_TAL,27/02/2008 14:20:25,03/08/2010 13:45:46,11.000
WQ_GEO_CL,01/07/2010 13:00:14,03/08/2010 13:45:07,3.000
WQ_GEO_FEII,27/02/2008 14:20:41,03/08/2010 13:46:15,11.000
WQ_DIAG_TOT_TFE,27/02/2008 14:20:06,03/08/2010 13:45:33,11.000
WQ_GEO_MN,01/07/2010 13:00:00,03/08/2010 13:45:30,3.000
WQ_CAR_PH,27/02/2008 14:20:20,03/08/2010 13:46:23,15.000
WQ_SIL_RSI,01/07/2010 13:00:26,03/08/2010 13:45:02,3.000
WQ_GEO_NA,01/07/2010 13:00:13,03/08/2010 13:45:37,3.000
WQ_GEO_SO4,01/07/2010 13:00:19,03/08/2010 13:45:05,3.000
TEMP,27/02/2008 14:20:30,03/08/2010 13:45:05,4.000
WQ_DIAG_TOT_TURBIDITY,27/02/2008 14:20:03,03/08/2010 13:45:25,11.000
WQ_DIAG_TOT_TSS,27/02/2008 14:20:03,03/08/2010 13:45:25,11.000
WQ_TRC_SS1,27/02/2008 14:20:03,03/08/2010 13:45:25,11.000
SAL,27/02/2008 14:20:09,03/08/2010 13:45:32,15.000
