Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,06/01/2011 12:32:36,19/04/2011 12:25:52,2.000
WQ_OXY_OXY,26/11/2010 11:22:11,16/05/2011 12:50:37,6.000
Conductivity,26/11/2010 11:22:52,16/05/2011 12:50:02,8.000
WQ_GEO_K,06/01/2011 12:32:32,19/04/2011 12:25:53,2.000
WQ_CAR_DIC,26/11/2010 11:22:21,16/05/2011 12:50:12,8.000
WQ_GEO_AL,06/01/2011 12:33:24,19/04/2011 12:25:04,2.000
WQ_DIAG_TOT_TAL,06/01/2011 12:32:18,19/04/2011 12:25:05,2.000
WQ_GEO_CL,06/01/2011 12:33:06,19/04/2011 12:25:25,2.000
WQ_GEO_FEII,06/01/2011 12:32:16,19/04/2011 12:25:55,2.000
WQ_DIAG_TOT_TFE,06/01/2011 12:32:07,19/04/2011 12:25:35,2.000
WQ_GEO_MN,19/04/2011 12:25:16,19/04/2011 12:25:16,1.000
WQ_CAR_PH,26/11/2010 11:23:03,16/05/2011 12:51:10,8.000
WQ_SIL_RSI,06/01/2011 12:32:07,19/04/2011 12:26:20,2.000
WQ_GEO_NA,06/01/2011 12:33:04,19/04/2011 12:26:16,2.000
WQ_GEO_SO4,06/01/2011 12:33:08,19/04/2011 12:25:04,2.000
TEMP,26/11/2010 11:23:24,16/05/2011 12:50:24,6.000
WQ_DIAG_TOT_TURBIDITY,06/01/2011 12:32:37,19/04/2011 12:26:05,2.000
WQ_DIAG_TOT_TSS,06/01/2011 12:32:37,19/04/2011 12:26:05,2.000
WQ_TRC_SS1,06/01/2011 12:32:37,19/04/2011 12:26:05,2.000
SAL,26/11/2010 11:22:52,16/05/2011 12:50:02,8.000
