Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,26/11/2010 13:35:03,19/04/2011 11:30:01,6.000
WQ_OXY_OXY,26/11/2010 13:35:28,16/05/2011 11:50:37,7.000
Conductivity,26/11/2010 13:35:22,16/05/2011 11:50:19,13.000
WQ_GEO_K,26/11/2010 13:36:06,19/04/2011 11:30:55,6.000
WQ_CAR_DIC,26/11/2010 13:35:27,16/05/2011 11:50:40,13.000
WQ_GEO_AL,26/11/2010 13:35:48,19/04/2011 11:30:04,6.000
WQ_DIAG_TOT_TAL,26/11/2010 13:35:30,19/04/2011 11:31:05,6.000
WQ_GEO_CL,26/11/2010 13:35:10,19/04/2011 11:30:35,6.000
WQ_GEO_FEII,26/11/2010 13:36:08,19/04/2011 11:30:17,6.000
WQ_DIAG_TOT_TFE,26/11/2010 13:36:07,19/04/2011 11:30:58,6.000
WQ_GEO_MN,18/01/2011 11:05:23,19/04/2011 11:30:29,3.000
WQ_CAR_PH,26/11/2010 13:36:01,16/05/2011 11:50:19,13.000
WQ_SIL_RSI,26/11/2010 13:35:33,19/04/2011 11:30:10,6.000
WQ_GEO_NA,26/11/2010 13:35:38,19/04/2011 11:31:00,6.000
WQ_GEO_SO4,26/11/2010 13:35:16,19/04/2011 11:31:05,6.000
TEMP,26/11/2010 13:36:14,16/05/2011 11:50:51,7.000
WQ_DIAG_TOT_TURBIDITY,26/11/2010 13:35:12,19/04/2011 11:30:17,6.000
WQ_DIAG_TOT_TSS,26/11/2010 13:35:12,19/04/2011 11:30:17,6.000
WQ_TRC_SS1,26/11/2010 13:35:12,19/04/2011 11:30:17,6.000
SAL,26/11/2010 13:35:22,16/05/2011 11:50:19,13.000
