Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,05/08/2008 10:48:13,09/02/2016 10:11:12,128.000
WQ_PHY_GRN,05/08/2008 10:48:21,09/02/2016 10:10:46,36.000
WQ_OGM_DOC,05/08/2008 10:47:54,09/02/2016 10:10:00,99.000
WQ_PHS_FRP,27/01/2010 11:39:44,09/02/2016 10:11:20,116.000
WQ_NIT_NIT,27/01/2010 11:39:45,09/02/2016 10:10:18,116.000
WQ_DIAG_TOT_TP,05/08/2008 10:48:17,09/02/2016 10:10:40,137.000
WQ_SIL_RSI,27/01/2010 11:40:18,09/02/2016 10:10:06,115.000
WQ_DIAG_TOT_TKN,05/08/2008 10:48:21,09/02/2016 10:10:35,137.000
WQ_DIAG_TOT_TURBIDITY,05/08/2008 10:47:05,09/02/2016 10:10:17,641.000
pH,15/07/2014 11:23:20,09/02/2016 10:10:04,7.000
WQ_DIAG_PHY_TCHLA,15/07/2014 11:22:38,09/02/2016 10:11:22,20.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,05/08/2008 10:47:05,09/02/2016 10:10:17,643.000
WQ_TRC_SS1,05/08/2008 10:47:05,09/02/2016 10:10:17,643.000
ON,05/08/2008 10:48:21,13/10/2015 10:48:21,136.000
OP,05/08/2008 00:00:00,09/02/2016 00:00:00,137.000
