Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,04/08/2008 17:24:02,03/02/2016 09:55:54,168.000
WQ_PHY_GRN,29/10/2008 16:04:15,03/02/2016 09:56:23,21.000
WQ_OGM_DOC,04/08/2008 17:23:09,03/02/2016 09:55:32,122.000
WQ_PHS_FRP,25/01/2010 10:35:00,03/02/2016 09:55:50,143.000
WQ_NIT_NIT,21/12/2009 11:10:14,03/02/2016 09:56:08,144.000
WQ_DIAG_TOT_TP,04/08/2008 17:23:57,03/02/2016 09:56:26,170.000
WQ_SIL_RSI,05/07/2010 13:20:22,03/02/2016 09:55:57,131.000
WQ_DIAG_TOT_TKN,04/08/2008 17:24:16,03/02/2016 09:55:55,165.000
WQ_DIAG_TOT_TURBIDITY,04/08/2008 17:23:09,03/02/2016 09:55:07,265.000
pH,15/07/2014 10:51:24,03/02/2016 09:56:05,7.000
WQ_DIAG_PHY_TCHLA,15/07/2014 10:50:06,03/02/2016 09:55:38,20.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,04/08/2008 17:23:09,03/02/2016 09:55:07,265.000
WQ_TRC_SS1,04/08/2008 17:23:09,03/02/2016 09:55:07,265.000
ON,04/08/2008 17:24:16,15/10/2015 17:24:16,164.000
OP,04/08/2008 00:00:00,03/02/2016 00:00:00,170.000
