Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,14/07/2014 13:42:12,05/01/2016 12:05:02,10.000
WQ_PHY_GRN,14/07/2014 13:41:36,05/01/2016 12:06:20,20.000
WQ_PHS_FRP,14/07/2014 13:42:20,05/01/2016 12:05:55,10.000
WQ_NIT_NIT,14/07/2014 13:41:50,05/01/2016 12:06:22,10.000
WQ_DIAG_TOT_TP,14/07/2014 13:41:36,05/01/2016 12:05:51,10.000
WQ_SIL_RSI,14/07/2014 13:41:48,05/01/2016 12:05:32,10.000
WQ_DIAG_TOT_TKN,14/07/2014 13:41:46,05/01/2016 12:05:06,10.000
WQ_DIAG_TOT_TN,13/11/2014 09:31:28,05/01/2016 12:05:00,7.000
WQ_DIAG_TOT_TURBIDITY,14/07/2014 13:41:37,05/01/2016 12:06:13,10.000
pH,14/07/2014 13:41:10,23/04/2015 13:31:20,4.000
WQ_DIAG_PHY_TCHLA,14/07/2014 13:41:22,05/01/2016 12:06:04,20.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,14/07/2014 13:41:37,05/01/2016 12:06:13,10.000
WQ_TRC_SS1,14/07/2014 13:41:37,05/01/2016 12:06:13,10.000
ON,14/07/2014 13:41:46,08/10/2015 13:41:46,9.000
OP,14/07/2014 00:00:00,05/01/2016 00:00:00,10.000
