Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,15/07/2014 10:25:51,20/04/2016 12:45:15,11.000
WQ_PHY_GRN,15/07/2014 10:25:14,20/04/2016 12:45:49,22.000
WQ_OGM_DOC,15/07/2014 10:26:09,20/04/2016 12:45:17,8.000
WQ_PHS_FRP,15/07/2014 10:25:42,20/04/2016 12:46:01,11.000
WQ_NIT_NIT,15/07/2014 10:25:39,20/04/2016 12:45:49,11.000
WQ_DIAG_TOT_TP,15/07/2014 10:25:33,20/04/2016 12:45:07,11.000
WQ_SIL_RSI,15/07/2014 10:25:25,20/04/2016 12:46:14,10.000
WQ_DIAG_TOT_TKN,15/07/2014 10:26:11,20/04/2016 12:45:41,11.000
WQ_DIAG_TOT_TURBIDITY,15/07/2014 10:26:19,20/04/2016 12:46:07,8.000
pH,15/07/2014 10:25:07,20/04/2016 12:46:24,8.000
WQ_DIAG_PHY_TCHLA,15/07/2014 10:25:21,20/04/2016 12:45:39,22.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,15/07/2014 10:26:19,20/04/2016 12:46:07,8.000
WQ_TRC_SS1,15/07/2014 10:26:19,20/04/2016 12:46:07,8.000
ON,15/07/2014 10:26:11,20/04/2016 10:26:11,11.000
OP,15/07/2014 00:00:00,20/04/2016 00:00:00,11.000
