Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,24/09/2013 00:00:56,08/06/2016 11:51:28,145.000
WQ_PHY_GRN,24/09/2013 11:42:06,08/06/2016 11:52:15,194.000
WQ_OGM_DOC,05/01/2016 10:33:28,08/06/2016 11:52:07,18.000
WQ_PHS_FRP,24/09/2013 00:01:14,08/06/2016 11:52:00,145.000
WQ_NIT_NIT,24/09/2013 00:00:23,08/06/2016 11:51:59,145.000
WQ_DIAG_TOT_TP,24/09/2013 00:00:48,08/06/2016 11:52:14,145.000
WQ_SIL_RSI,24/09/2013 00:01:07,08/06/2016 11:51:26,145.000
WQ_DIAG_TOT_TKN,24/09/2013 00:00:33,08/06/2016 11:51:46,145.000
WQ_DIAG_TOT_TN,05/08/2014 00:00:02,08/06/2016 11:51:58,98.000
WQ_DIAG_TOT_TURBIDITY,12/09/2012 00:00:15,08/06/2016 11:52:18,311.000
pH,24/09/2013 11:42:19,23/04/2015 12:05:06,22.000
WQ_DIAG_PHY_TCHLA,24/09/2013 11:42:50,08/06/2016 11:52:25,194.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,12/09/2012 00:00:15,08/06/2016 11:52:18,311.000
WQ_TRC_SS1,12/09/2012 00:00:15,08/06/2016 11:52:18,311.000
ON,24/09/2013 00:00:33,08/06/2016 00:00:33,145.000
OP,24/09/2013 00:00:00,08/06/2016 00:00:00,145.000
