Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,18/09/2014 11:14:41,22/01/2015 11:21:03,5.000
WQ_PHY_GRN,18/09/2014 11:14:03,22/01/2015 11:21:14,10.000
WQ_PHS_FRP,18/09/2014 11:14:30,22/01/2015 11:20:08,5.000
WQ_NIT_NIT,18/09/2014 11:14:26,22/01/2015 11:20:13,5.000
WQ_DIAG_TOT_TP,18/09/2014 11:14:18,22/01/2015 11:21:02,5.000
WQ_SIL_RSI,18/09/2014 11:14:26,22/01/2015 11:20:05,5.000
WQ_DIAG_TOT_TKN,18/09/2014 11:14:11,22/01/2015 11:21:15,5.000
WQ_DIAG_PHY_TCHLA,18/09/2014 11:14:13,22/01/2015 11:21:14,10.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
ON,18/09/2014 11:14:11,22/01/2015 11:14:11,5.000
OP,18/09/2014 00:00:00,22/01/2015 00:00:00,5.000
