Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,21/07/2014 10:15:22,08/06/2016 11:16:05,50.000
WQ_PHY_GRN,21/07/2014 10:15:20,08/06/2016 11:15:48,100.000
WQ_OGM_DOC,05/01/2016 14:53:10,08/06/2016 11:16:10,12.000
WQ_PHS_FRP,21/07/2014 10:15:13,08/06/2016 11:16:19,50.000
WQ_NIT_NIT,21/07/2014 10:15:01,08/06/2016 11:16:16,50.000
WQ_DIAG_TOT_TP,21/07/2014 10:15:16,08/06/2016 11:15:48,50.000
WQ_SIL_RSI,21/07/2014 10:16:24,08/06/2016 11:16:14,50.000
WQ_DIAG_TOT_TKN,21/07/2014 10:16:04,08/06/2016 11:15:36,50.000
WQ_DIAG_TOT_TN,21/07/2014 10:15:34,08/06/2016 11:15:51,50.000
WQ_DIAG_TOT_TURBIDITY,21/07/2014 10:15:05,08/06/2016 11:16:23,50.000
WQ_DIAG_PHY_TCHLA,21/07/2014 10:15:38,08/06/2016 11:16:01,100.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,21/07/2014 10:15:05,08/06/2016 11:16:23,50.000
WQ_TRC_SS1,21/07/2014 10:15:05,08/06/2016 11:16:23,50.000
ON,21/07/2014 10:16:04,08/06/2016 10:16:04,50.000
OP,21/07/2014 00:00:00,08/06/2016 00:00:00,50.000
