Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,15/07/2014 12:06:31,09/02/2016 11:25:05,10.000
WQ_PHY_GRN,15/07/2014 12:06:54,09/02/2016 11:26:21,20.000
WQ_OGM_DOC,15/07/2014 12:06:51,09/02/2016 11:26:13,7.000
WQ_PHS_FRP,15/07/2014 12:07:11,09/02/2016 11:26:20,10.000
WQ_NIT_NIT,15/07/2014 12:07:10,09/02/2016 11:25:49,10.000
WQ_DIAG_TOT_TP,15/07/2014 12:06:53,09/02/2016 11:25:10,10.000
WQ_SIL_RSI,15/07/2014 12:06:56,09/02/2016 11:25:19,10.000
WQ_DIAG_TOT_TKN,15/07/2014 12:07:09,09/02/2016 11:25:48,10.000
WQ_DIAG_TOT_TURBIDITY,15/07/2014 12:07:21,09/02/2016 11:25:07,7.000
pH,15/07/2014 12:06:43,09/02/2016 11:25:40,7.000
WQ_DIAG_PHY_TCHLA,15/07/2014 12:06:40,09/02/2016 11:25:11,20.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,15/07/2014 12:07:21,09/02/2016 11:25:07,7.000
WQ_TRC_SS1,15/07/2014 12:07:21,09/02/2016 11:25:07,7.000
ON,15/07/2014 12:07:09,13/10/2015 12:07:09,9.000
OP,15/07/2014 00:00:00,09/02/2016 00:00:00,10.000
