Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,15/07/2014 14:01:11,20/04/2016 10:46:21,11.000
WQ_PHY_GRN,15/07/2014 14:00:39,20/04/2016 10:45:43,22.000
WQ_OGM_DOC,15/07/2014 14:00:30,20/04/2016 10:45:36,8.000
WQ_PHS_FRP,15/07/2014 14:00:10,20/04/2016 10:45:16,11.000
WQ_NIT_NIT,15/07/2014 14:00:30,20/04/2016 10:45:13,11.000
WQ_DIAG_TOT_TP,15/07/2014 14:00:08,20/04/2016 10:45:47,11.000
WQ_SIL_RSI,15/07/2014 14:00:16,20/04/2016 10:45:27,10.000
WQ_DIAG_TOT_TKN,15/07/2014 14:00:25,20/04/2016 10:45:05,11.000
WQ_DIAG_TOT_TURBIDITY,15/07/2014 14:00:07,20/04/2016 10:45:24,8.000
pH,15/07/2014 14:00:08,20/04/2016 10:45:44,8.000
WQ_DIAG_PHY_TCHLA,15/07/2014 14:00:09,20/04/2016 10:45:56,22.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,15/07/2014 14:00:07,20/04/2016 10:45:24,8.000
WQ_TRC_SS1,15/07/2014 14:00:07,20/04/2016 10:45:24,8.000
ON,15/07/2014 14:00:25,09/02/2016 14:00:25,10.000
OP,15/07/2014 00:00:00,20/04/2016 00:00:00,11.000
