Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,12/09/2012 12:20:08,05/01/2016 12:36:20,28.000
WQ_PHY_GRN,16/09/2014 10:30:40,05/01/2016 12:35:40,18.000
WQ_PHS_FRP,12/09/2012 12:20:20,05/01/2016 12:36:16,28.000
WQ_NIT_NIT,12/09/2012 12:20:26,05/01/2016 12:35:36,28.000
WQ_DIAG_TOT_TP,12/09/2012 12:20:27,05/01/2016 12:35:39,28.000
WQ_SIL_RSI,12/09/2012 12:20:01,05/01/2016 12:36:12,29.000
WQ_DIAG_TOT_TKN,12/09/2012 12:20:12,05/01/2016 12:36:01,28.000
WQ_DIAG_TOT_TN,13/11/2014 00:00:13,05/01/2016 12:36:24,10.000
WQ_DIAG_TOT_TURBIDITY,12/09/2012 12:20:03,05/01/2016 12:36:20,161.000
WQ_DIAG_PHY_TCHLA,16/09/2014 10:30:48,05/01/2016 12:36:08,18.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,12/09/2012 12:20:03,05/01/2016 12:36:20,161.000
WQ_TRC_SS1,12/09/2012 12:20:03,05/01/2016 12:36:20,161.000
ON,12/09/2012 12:20:12,05/01/2016 12:20:12,28.000
OP,12/09/2012 00:00:00,05/01/2016 00:00:00,28.000
