Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,03/10/2013 00:00:28,21/01/2015 15:45:10,11.000
WQ_PHY_GRN,16/09/2014 15:28:33,21/01/2015 15:45:47,10.000
WQ_PHS_FRP,03/10/2013 00:00:49,21/01/2015 15:45:01,11.000
WQ_NIT_NIT,03/10/2013 00:00:35,21/01/2015 15:45:06,11.000
WQ_DIAG_TOT_TP,03/10/2013 00:00:30,21/01/2015 15:45:12,11.000
WQ_SIL_RSI,20/07/2010 12:23:01,21/01/2015 15:45:20,13.000
WQ_DIAG_TOT_TKN,03/10/2013 00:00:24,21/01/2015 15:45:01,11.000
WQ_DIAG_TOT_TN,13/11/2014 15:45:45,21/01/2015 15:46:08,3.000
WQ_DIAG_PHY_TCHLA,16/09/2014 15:28:05,21/01/2015 15:45:36,10.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
ON,03/10/2013 00:00:24,21/01/2015 00:00:24,11.000
OP,03/10/2013 00:00:00,21/01/2015 00:00:00,11.000
