Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,28/10/2010 13:57:45,22/01/2015 14:00:51,29.000
WQ_PHY_GRN,18/09/2014 13:49:36,22/01/2015 14:00:09,10.000
WQ_PHS_FRP,28/10/2010 13:57:03,22/01/2015 14:01:20,29.000
WQ_NIT_NIT,28/10/2010 13:57:47,22/01/2015 14:00:35,29.000
WQ_DIAG_TOT_TP,28/10/2010 13:57:19,22/01/2015 14:00:09,29.000
WQ_SIL_RSI,01/10/2010 13:15:06,22/01/2015 14:00:36,34.000
WQ_DIAG_TOT_TKN,28/10/2010 13:57:58,22/01/2015 14:00:07,29.000
WQ_DIAG_PHY_TCHLA,18/09/2014 13:50:00,22/01/2015 14:00:35,10.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
ON,28/10/2010 13:57:58,22/01/2015 13:57:58,28.000
OP,28/10/2010 00:00:00,22/01/2015 00:00:00,29.000
