Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,21/07/2014 10:35:15,08/06/2016 10:54:11,52.000
WQ_PHY_GRN,21/07/2014 10:35:01,08/06/2016 10:54:21,104.000
WQ_OGM_DOC,05/01/2016 14:30:18,08/06/2016 10:53:56,12.000
WQ_PHS_FRP,21/07/2014 10:35:31,08/06/2016 10:54:02,52.000
WQ_NIT_NIT,21/07/2014 10:35:38,08/06/2016 10:54:16,52.000
WQ_DIAG_TOT_TP,21/07/2014 10:35:22,08/06/2016 10:54:25,52.000
WQ_SIL_RSI,21/07/2014 10:35:18,08/06/2016 10:53:15,52.000
WQ_DIAG_TOT_TKN,21/07/2014 10:35:02,08/06/2016 10:54:08,52.000
WQ_DIAG_TOT_TN,21/07/2014 10:35:02,08/06/2016 10:53:55,52.000
WQ_DIAG_TOT_TURBIDITY,21/07/2014 10:35:10,08/06/2016 10:54:20,52.000
WQ_DIAG_PHY_TCHLA,21/07/2014 10:35:10,08/06/2016 10:54:06,104.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,21/07/2014 10:35:10,08/06/2016 10:54:20,52.000
WQ_TRC_SS1,21/07/2014 10:35:10,08/06/2016 10:54:20,52.000
ON,21/07/2014 10:35:02,08/06/2016 10:35:02,52.000
OP,21/07/2014 00:00:00,08/06/2016 00:00:00,52.000
