Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,05/08/2008 15:03:15,20/04/2016 09:15:25,79.000
WQ_PHY_GRN,05/08/2008 15:03:43,20/04/2016 09:16:02,32.000
WQ_OGM_DOC,23/01/2008 14:11:20,20/04/2016 09:15:32,64.000
WQ_PHS_FRP,27/01/2010 15:15:54,20/04/2016 09:16:13,69.000
WQ_NIT_NIT,27/01/2010 15:15:45,20/04/2016 09:15:48,69.000
WQ_DIAG_TOT_TP,23/01/2008 14:11:35,20/04/2016 09:15:26,110.000
WQ_SIL_RSI,23/01/2008 14:11:00,20/04/2016 09:15:05,90.000
WQ_DIAG_TOT_TKN,23/01/2008 14:11:56,20/04/2016 09:16:03,110.000
WQ_DIAG_TOT_TURBIDITY,23/01/2008 14:11:56,20/04/2016 09:15:29,460.000
pH,15/07/2014 14:56:20,20/04/2016 09:16:17,8.000
WQ_DIAG_PHY_TCHLA,15/07/2014 14:55:40,20/04/2016 09:15:09,16.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,23/01/2008 14:11:56,20/04/2016 09:15:29,460.000
WQ_TRC_SS1,23/01/2008 14:11:56,20/04/2016 09:15:29,460.000
ON,23/01/2008 14:11:56,09/02/2016 14:11:56,109.000
OP,23/01/2008 00:00:00,20/04/2016 00:00:00,110.000
