Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,21/07/2014 12:21:29,08/06/2016 09:10:58,52.000
WQ_PHY_GRN,21/07/2014 12:21:36,08/06/2016 09:11:22,104.000
WQ_OGM_DOC,05/01/2016 10:55:14,08/06/2016 09:11:19,12.000
WQ_PHS_FRP,21/07/2014 12:21:05,08/06/2016 09:11:04,52.000
WQ_NIT_NIT,21/07/2014 12:21:32,08/06/2016 09:11:00,52.000
WQ_DIAG_TOT_TP,21/07/2014 12:21:43,08/06/2016 09:11:13,52.000
WQ_SIL_RSI,21/07/2014 12:21:20,08/06/2016 09:10:09,52.000
WQ_DIAG_TOT_TKN,21/07/2014 12:21:34,08/06/2016 09:10:47,52.000
WQ_DIAG_TOT_TN,21/07/2014 12:21:29,08/06/2016 09:10:51,52.000
WQ_DIAG_TOT_TURBIDITY,21/07/2014 12:21:54,08/06/2016 09:10:21,52.000
WQ_DIAG_PHY_TCHLA,21/07/2014 12:21:00,08/06/2016 09:11:19,104.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,21/07/2014 12:21:54,08/06/2016 09:10:21,52.000
WQ_TRC_SS1,21/07/2014 12:21:54,08/06/2016 09:10:21,52.000
ON,21/07/2014 12:21:34,18/05/2016 12:21:34,50.000
OP,21/07/2014 00:00:00,08/06/2016 00:00:00,52.000
