Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,21/07/2014 12:36:10,05/01/2016 11:10:49,42.000
WQ_PHY_GRN,21/07/2014 12:35:10,05/01/2016 11:11:24,84.000
WQ_OGM_DOC,05/01/2016 11:10:02,05/01/2016 11:10:02,2.000
WQ_PHS_FRP,21/07/2014 12:35:19,05/01/2016 11:10:28,42.000
WQ_NIT_NIT,21/07/2014 12:35:05,05/01/2016 11:11:23,42.000
WQ_DIAG_TOT_TP,21/07/2014 12:36:21,05/01/2016 11:11:22,42.000
WQ_SIL_RSI,21/07/2014 12:35:07,05/01/2016 11:11:07,42.000
WQ_DIAG_TOT_TKN,21/07/2014 12:35:25,05/01/2016 11:10:46,42.000
WQ_DIAG_TOT_TN,21/07/2014 12:35:47,05/01/2016 11:11:14,42.000
WQ_DIAG_TOT_TURBIDITY,21/07/2014 12:35:36,05/01/2016 11:10:56,42.000
WQ_DIAG_PHY_TCHLA,21/07/2014 12:35:41,05/01/2016 11:11:12,84.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,21/07/2014 12:35:36,05/01/2016 11:10:56,42.000
WQ_TRC_SS1,21/07/2014 12:35:36,05/01/2016 11:10:56,42.000
ON,21/07/2014 12:35:25,10/12/2015 12:35:25,40.000
OP,21/07/2014 00:00:00,05/01/2016 00:00:00,42.000
