Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,21/07/2014 11:30:25,08/06/2016 09:48:45,52.000
WQ_PHY_GRN,21/07/2014 11:30:36,08/06/2016 09:49:09,104.000
WQ_OGM_DOC,05/01/2016 09:50:09,08/06/2016 09:49:24,12.000
WQ_PHS_FRP,21/07/2014 11:31:04,08/06/2016 09:48:53,52.000
WQ_NIT_NIT,21/07/2014 11:30:28,08/06/2016 09:48:44,52.000
WQ_DIAG_TOT_TP,21/07/2014 11:30:03,08/06/2016 09:48:51,52.000
WQ_SIL_RSI,21/07/2014 11:30:02,08/06/2016 09:49:21,52.000
WQ_DIAG_TOT_TKN,21/07/2014 11:30:31,08/06/2016 09:49:06,52.000
WQ_DIAG_TOT_TN,21/07/2014 11:30:17,08/06/2016 09:49:04,52.000
WQ_DIAG_TOT_TURBIDITY,21/07/2014 11:30:47,08/06/2016 09:48:48,52.000
WQ_DIAG_PHY_TCHLA,21/07/2014 11:30:09,08/06/2016 09:49:24,104.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,21/07/2014 11:30:47,08/06/2016 09:48:48,52.000
WQ_TRC_SS1,21/07/2014 11:30:47,08/06/2016 09:48:48,52.000
ON,21/07/2014 11:30:31,18/05/2016 11:30:31,50.000
OP,21/07/2014 00:00:00,08/06/2016 00:00:00,52.000
