Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,27/02/2008 00:00:30,08/06/2016 00:41:25,112.000
WQ_PHY_GRN,24/09/2013 13:10:01,08/06/2016 00:41:19,194.000
WQ_OGM_DOC,05/01/2016 11:40:45,08/06/2016 00:41:23,18.000
WQ_PHS_FRP,27/02/2008 00:01:08,08/06/2016 00:41:13,112.000
WQ_NIT_NIT,27/02/2008 00:01:00,08/06/2016 00:40:46,112.000
WQ_DIAG_TOT_TP,27/02/2008 00:00:17,08/06/2016 00:40:54,112.000
WQ_SIL_RSI,26/11/2010 00:00:31,08/06/2016 00:41:15,110.000
WQ_DIAG_TOT_TKN,27/02/2008 00:00:02,08/06/2016 00:40:47,112.000
WQ_DIAG_TOT_TN,05/08/2014 11:00:04,08/06/2016 00:41:03,78.000
WQ_DIAG_TOT_TURBIDITY,27/02/2008 00:00:26,08/06/2016 00:40:55,219.000
pH,06/01/2011 14:15:10,23/04/2015 13:10:59,32.000
WQ_DIAG_PHY_TCHLA,24/09/2013 13:10:22,08/06/2016 00:41:21,194.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,27/02/2008 00:00:26,08/06/2016 00:40:55,219.000
WQ_TRC_SS1,27/02/2008 00:00:26,08/06/2016 00:40:55,219.000
ON,27/02/2008 00:00:02,08/06/2016 00:00:02,112.000
OP,27/02/2008 00:00:00,08/06/2016 00:00:00,112.000
