Variable Name,Min Date,Max Date,Number of Samples
WQ_NIT_AMM,15/07/2014 15:35:15,09/02/2016 14:10:20,7.000
WQ_PHY_GRN,15/07/2014 15:35:16,09/02/2016 14:10:50,14.000
WQ_OGM_DOC,15/07/2014 15:35:01,09/02/2016 14:11:05,7.000
WQ_PHS_FRP,15/07/2014 15:35:40,09/02/2016 14:10:05,7.000
WQ_NIT_NIT,15/07/2014 15:36:16,09/02/2016 14:10:50,7.000
WQ_DIAG_TOT_TP,15/07/2014 15:35:18,09/02/2016 14:10:42,7.000
WQ_SIL_RSI,15/07/2014 15:36:04,09/02/2016 14:11:19,6.000
WQ_DIAG_TOT_TKN,15/07/2014 15:35:48,09/02/2016 14:10:30,7.000
WQ_DIAG_TOT_TURBIDITY,15/07/2014 15:35:54,09/02/2016 14:11:22,7.000
pH,15/07/2014 15:35:36,09/02/2016 14:10:09,7.000
WQ_DIAG_PHY_TCHLA,15/07/2014 15:35:41,09/02/2016 14:11:24,14.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,15/07/2014 15:35:54,09/02/2016 14:11:22,7.000
WQ_TRC_SS1,15/07/2014 15:35:54,09/02/2016 14:11:22,7.000
ON,15/07/2014 15:35:48,13/10/2015 15:35:48,6.000
OP,15/07/2014 00:00:00,09/02/2016 00:00:00,7.000
