Variable Name,Min Date,Max Date,Number of Samples
SAL,07/01/2008 08:00:27,29/05/2018 09:11:23,524.000
WQ_OGM_DOC,16/02/2010 00:00:24,29/05/2018 09:11:44,479.000
WQ_NIT_NIT,28/06/2010 00:00:40,29/05/2018 09:11:30,336.000
WQ_PHS_FRP,16/02/2010 00:00:19,29/05/2018 09:11:38,351.000
WQ_DIAG_TOT_TP,16/02/2010 00:00:59,29/05/2018 09:11:49,350.000
WQ_DIAG_TOT_TKN,28/06/2010 00:00:30,29/05/2018 09:11:27,335.000
WQ_DIAG_TOT_TDS,07/01/2008 08:00:36,29/05/2018 09:11:42,524.000
WQ_DIAG_TOT_TURBIDITY,01/01/2008 00:00:21,29/05/2018 09:11:53,601.000
WQ_CAR_PH,01/01/2008 00:00:26,08/05/2018 08:25:25,372.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,01/01/2008 00:00:21,29/05/2018 09:11:53,601.000
WQ_TRC_SS1,01/01/2008 00:00:21,29/05/2018 09:11:53,601.000
OP,16/02/2010 00:00:00,29/05/2018 00:00:00,350.000
