Variable Name,Min Date,Max Date,Number of Samples
SAL,03/01/2008 13:10:58,29/05/2018 10:46:05,598.000
WQ_OGM_DOC,16/12/2008 12:49:02,29/05/2018 10:47:15,400.000
WQ_OXY_OXY,28/06/2011 10:56:42,29/05/2018 10:47:14,412.000
WQ_NIT_NIT,16/11/2009 12:41:10,29/05/2018 10:46:24,227.000
WQ_PHS_FRP,20/10/2009 11:51:01,29/05/2018 10:46:14,234.000
WQ_DIAG_TOT_TP,20/10/2009 11:50:22,29/05/2018 10:46:42,234.000
WQ_DIAG_TOT_TKN,20/10/2009 11:50:17,29/05/2018 10:47:10,229.000
TEMP,02/01/2008 13:38:03,29/05/2018 10:47:23,610.000
WQ_DIAG_TOT_TDS,03/01/2008 13:11:12,29/05/2018 10:47:07,598.000
WQ_DIAG_TOT_TURBIDITY,02/01/2008 13:37:29,29/05/2018 10:46:01,456.000
WQ_CAR_PH,25/03/2008 12:49:11,29/05/2018 10:46:24,380.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,131.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,131.000
WQ_DIAG_TOT_TSS,02/01/2008 13:37:29,29/05/2018 10:46:01,456.000
WQ_TRC_SS1,02/01/2008 13:37:29,29/05/2018 10:46:01,456.000
OP,20/10/2009 00:00:00,29/05/2018 00:00:00,231.000
