Variable Name,Min Date,Max Date,Number of Samples
SAL,03/01/2008 09:10:35,29/05/2018 09:28:10,667.000
WQ_OGM_DOC,04/01/2008 08:37:45,29/05/2018 09:28:19,410.000
WQ_OXY_OXY,28/02/2008 12:33:11,29/05/2018 09:27:43,554.000
WQ_NIT_NIT,22/05/2008 10:17:03,23/05/2018 10:05:47,292.000
WQ_PHS_FRP,04/01/2008 08:37:31,23/05/2018 10:05:39,304.000
WQ_DIAG_TOT_TP,04/01/2008 08:38:17,23/05/2018 10:06:04,304.000
WQ_SIL_RSI,04/01/2008 08:37:44,08/05/2018 09:11:35,151.000
WQ_DIAG_TOT_TKN,04/01/2008 08:37:27,23/05/2018 10:05:11,304.000
TEMP,04/01/2008 08:37:29,29/05/2018 09:27:41,766.000
WQ_DIAG_TOT_TDS,03/01/2008 09:10:53,29/05/2018 09:27:34,667.000
WQ_DIAG_TOT_TURBIDITY,04/01/2008 08:37:44,29/05/2018 09:27:13,557.000
WQ_CAR_PH,04/01/2008 08:37:19,29/05/2018 09:27:25,484.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,131.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,131.000
WQ_DIAG_TOT_TSS,04/01/2008 08:37:44,29/05/2018 09:27:13,557.000
WQ_TRC_SS1,04/01/2008 08:37:44,29/05/2018 09:27:13,557.000
OP,04/01/2008 00:00:00,23/05/2018 00:00:00,301.000
