Variable Name,Min Date,Max Date,Number of Samples
SAL,04/01/2008 08:05:53,30/05/2018 12:28:13,605.000
WQ_OGM_DOC,17/12/2008 11:16:58,30/05/2018 12:28:07,398.000
WQ_OXY_OXY,24/11/2010 12:26:21,30/05/2018 12:28:45,414.000
WQ_NIT_NIT,30/06/2010 13:30:20,30/05/2018 12:28:15,219.000
WQ_PHS_FRP,21/10/2009 14:28:38,30/05/2018 12:28:42,228.000
WQ_DIAG_TOT_TP,21/10/2009 14:28:23,30/05/2018 12:28:35,228.000
WQ_DIAG_TOT_TKN,21/10/2009 14:28:55,30/05/2018 12:29:20,223.000
TEMP,12/03/2008 14:34:36,30/05/2018 12:28:56,585.000
WQ_DIAG_TOT_TDS,04/01/2008 08:05:58,30/05/2018 12:29:00,605.000
WQ_DIAG_TOT_TURBIDITY,17/12/2008 11:16:27,30/05/2018 12:28:57,432.000
WQ_CAR_PH,25/03/2009 12:07:39,30/05/2018 12:29:13,413.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,131.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,131.000
WQ_DIAG_TOT_TSS,17/12/2008 11:16:27,30/05/2018 12:28:57,432.000
WQ_TRC_SS1,17/12/2008 11:16:27,30/05/2018 12:28:57,432.000
OP,21/10/2009 00:00:00,30/05/2018 00:00:00,225.000
