Variable Name,Min Date,Max Date,Number of Samples
WQ_DIAG_PHY_TCHLA,03/01/2008 09:23:30,31/05/2018 09:19:00,582.000
SAL,03/01/2008 09:23:43,31/05/2018 09:20:09,804.000
WQ_OGM_DOC,03/01/2008 09:23:34,31/05/2018 09:19:05,665.000
WQ_OXY_OXY,01/07/2010 09:25:33,31/05/2018 09:20:16,433.000
WQ_PHS_FRP,03/01/2008 09:24:07,31/05/2018 09:19:17,663.000
WQ_DIAG_TOT_TP,03/01/2008 09:24:18,31/05/2018 09:19:37,663.000
WQ_SIL_RSI,03/01/2008 09:24:17,31/05/2018 09:19:03,584.000
WQ_DIAG_TOT_TKN,03/01/2008 09:23:53,31/05/2018 09:19:20,649.000
TEMP,03/01/2008 09:24:10,31/05/2018 09:20:09,757.000
WQ_DIAG_TOT_TDS,03/01/2008 09:24:10,31/05/2018 09:20:15,804.000
WQ_DIAG_TOT_TURBIDITY,03/01/2008 09:23:57,31/05/2018 09:19:49,601.000
WQ_CAR_PH,03/01/2008 09:24:09,31/05/2018 09:19:42,822.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHY_GRN,03/01/2008 09:23:30,31/05/2018 09:19:00,582.000
WQ_DIAG_TOT_TSS,03/01/2008 09:23:57,31/05/2018 09:19:49,601.000
WQ_TRC_SS1,03/01/2008 09:23:57,31/05/2018 09:19:49,601.000
OP,03/01/2008 00:00:00,31/05/2018 00:00:00,660.000
