Variable Name,Min Date,Max Date,Number of Samples
SAL,03/01/2008 13:46:06,30/05/2018 07:47:25,608.000
WQ_OGM_DOC,03/06/2008 12:55:50,30/05/2018 07:47:34,265.000
WQ_OXY_OXY,29/06/2011 07:31:24,30/05/2018 07:47:50,412.000
WQ_NIT_NIT,17/11/2009 07:39:04,26/06/2013 10:13:15,47.000
WQ_PHS_FRP,20/10/2009 12:27:49,26/06/2013 10:12:06,64.000
WQ_DIAG_TOT_TP,20/10/2009 12:28:07,26/06/2013 10:12:22,63.000
WQ_DIAG_TOT_TKN,20/10/2009 12:27:26,26/06/2013 10:12:05,49.000
TEMP,09/01/2008 10:23:32,30/05/2018 07:47:10,595.000
WQ_DIAG_TOT_TDS,03/01/2008 13:45:53,30/05/2018 07:47:50,608.000
WQ_DIAG_TOT_TURBIDITY,09/01/2008 10:24:25,30/05/2018 07:47:24,300.000
WQ_CAR_PH,26/03/2008 08:53:05,30/05/2018 07:48:09,409.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,09/01/2008 10:24:25,30/05/2018 07:47:24,300.000
WQ_TRC_SS1,09/01/2008 10:24:25,30/05/2018 07:47:24,300.000
OP,20/10/2009 00:00:00,26/06/2013 00:00:00,63.000
