Variable Name,Min Date,Max Date,Number of Samples
SAL,04/01/2008 09:36:22,31/05/2018 08:38:46,605.000
WQ_DIAG_TOT_TDS,04/01/2008 09:35:17,31/05/2018 08:38:00,605.000
WQ_CAR_PH,26/03/2009 07:43:05,31/05/2018 08:38:51,311.000
WQ_OGM_DOC,18/12/2008 08:06:23,24/05/2018 09:05:11,243.000
WQ_OXY_OXY,25/11/2010 09:07:38,31/05/2018 08:38:48,413.000
WQ_NIT_NIT,14/01/2010 00:01:25,27/06/2013 00:00:07,46.000
WQ_PHS_FRP,22/10/2009 09:09:05,27/06/2013 00:01:23,53.000
WQ_DIAG_TOT_TP,22/10/2009 09:10:15,27/06/2013 00:00:30,53.000
WQ_DIAG_TOT_TKN,22/10/2009 09:10:08,27/06/2013 00:00:58,49.000
TEMP,06/03/2008 08:08:58,31/05/2018 08:38:29,600.000
WQ_DIAG_TOT_TURBIDITY,18/12/2008 08:05:11,24/05/2018 09:05:04,276.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,18/12/2008 08:05:11,24/05/2018 09:05:04,276.000
WQ_TRC_SS1,18/12/2008 08:05:11,24/05/2018 09:05:04,276.000
OP,22/10/2009 00:00:00,27/06/2013 00:00:00,53.000
